pair,n_animals,cc1_ff,cc1_fb,d_cc1,t_cc1,p_cc1,d_gini_conn,t_gini,p_gini,n_angle,ff_fb_angle_minus_floor,t_angle,p_angle
CA1-RSC,12,0.07186666666666666,0.049174999999999996,0.022691666666666666,2.863183215182883,0.015428531478785007,-0.002204166666666683,-0.2123340156352873,0.8357298459191047,12,9.143333333333333,1.9663393608990358,0.07499893783074738
CA1-CA3,9,0.1817888888888889,0.21491111111111114,-0.03312222222222222,-1.6250339560026301,0.14280929772566409,0.022133333333333324,0.9726121269098588,0.35923193540708986,9,2.5011111111111104,0.19830783916944034,0.847750901499363
CA1-DG,11,0.09571818181818181,0.10744545454545457,-0.011727272727272727,-0.8303829114940007,0.42570280569228336,-0.011922727272727257,-0.8680029158104174,0.40574129786754143,11,-7.583636363636362,-0.8523739576883318,0.4139547070939811
CA1-V1,13,0.04126153846153846,0.04593076923076922,-0.00466923076923077,-0.9238599364415382,0.37376338872621495,0.03143076923076922,1.6712696295493026,0.1205210006350334,13,-11.57307692307692,-1.3688797115961024,0.19611543077595944
CA3-DG,5,0.13448000000000002,0.15664,-0.02216,-1.783454941740644,0.14908287755909239,-0.03208999999999999,-1.5842783066531116,0.1883054966689645,5,13.157999999999998,1.8196912051084426,0.14292836082969862
CA1-SUB,7,0.027528571428571427,0.022142857142857148,0.005385714285714285,0.572605236103018,0.5877108161078322,0.009571428571428576,0.691275495425202,0.5152339396184038,7,3.881428571428571,0.4571074603302129,0.6636768018181223
RSC-SUB,7,0.07487142857142857,0.061900000000000004,0.012971428571428566,1.8389900919596787,0.11553974815846534,0.011928571428571424,1.2251690908274186,0.26642103251768007,7,-11.280000000000001,-2.2867892680761415,0.062217457628402716
V1-RSC,9,0.18763333333333332,0.15797777777777777,0.029655555555555553,2.2402702865380193,0.055402078149266405,0.008105555555555569,1.4133365912337883,0.19526414788333105,9,-4.98,-0.4089289284547939,0.6933201532431579
