gate_deg,n_rotating_lags,pairs,n_pairs
50.0,15,"CA1-CA3, CA1-DG, CA1-RSC, CA3-DG, RSC-SUB",5
60.0,14,"CA1-CA3, CA1-DG, CA1-SUB, CA3-DG",4
70.0,10,"CA1-CA3, CA1-DG, CA1-SUB",3
80.0,9,CA1-DG,1
90.0,1,CA1-DG,1
inf,1,CA1-DG,1
