animal,learner,pair,n_matched_bins,angle_x,angle_y,jac_x,jac_y,unc_cc1,cue_cc1,d_cc1,unc_n_sig,cue_n_sig,d_n_sig,unc_mi_sig,cue_mi_sig,d_mi_sig,unc_ifi,cue_ifi,d_ifi,unc_optimal_lag,cue_optimal_lag,d_optimal_lag,unc_gini_x,cue_gini_x,d_gini_x,unc_gini_y,cue_gini_y,d_gini_y
75,1,CA1-V1,12835,82.26,87.75,0.0909,0.1111,0.0147,0.1622,0.1475,0.0,2.0,2.0,0.0,0.0236,0.0236,0.0201,-0.0296,-0.0497,4.0,-5.0,-9.0,0.334,0.3384,0.0044,0.6295,0.4881,-0.1413
75,1,CA1-SUB,12835,77.21,84.94,0.0909,0.1765,0.0643,0.3799,0.3157,0.0,7.0,7.0,0.0,0.2174,0.2174,-0.0325,-0.0418,-0.0094,0.0,0.0,0.0,0.3346,0.3385,0.0039,0.3599,0.2966,-0.0634
75,1,RSC-SUB,12835,89.31,83.5,0.1111,0.1765,0.0175,0.5235,0.5059,0.0,6.0,6.0,0.0,0.2176,0.2176,-0.0382,-0.1003,-0.0621,0.0,0.0,0.0,0.8099,0.7225,-0.0874,0.3595,0.2963,-0.0633
75,1,V1-RSC,12835,85.85,89.76,0.1111,0.1111,0.0006,0.4223,0.4217,0.0,4.0,4.0,0.0,0.2191,0.2191,-0.0016,0.0077,0.0093,-5.0,0.0,5.0,0.6265,0.4749,-0.1517,0.8097,0.7188,-0.0909
77,1,CA1-RSC,12269,84.87,87.74,1.0,0.3421,-0.1011,0.0389,0.14,4.0,0.0,-4.0,0.1095,0.0,-0.1095,0.0065,-0.0165,-0.023,0.0,0.0,0.0,0.2502,0.1721,-0.078,0.6661,0.6862,0.0201
77,1,CA1-DG,12269,60.54,77.75,0.3333,0.3333,-0.0566,0.1342,0.1908,1.0,2.0,1.0,0.0035,0.0264,0.023,-0.0402,-0.0812,-0.0409,-4.0,-3.0,1.0,0.2515,0.1451,-0.1063,0.3488,0.5749,0.2261
77,1,CA1-V1,12269,85.32,84.89,1.0,0.0,0.1642,0.1174,-0.0468,2.0,4.0,2.0,0.0197,0.0283,0.0086,0.0107,-0.0009,-0.0116,0.0,-1.0,-1.0,0.2661,0.1745,-0.0916,0.4381,0.1987,-0.2394
77,1,CA1-SUB,12269,89.98,52.83,1.0,0.3333,0.0359,0.1248,0.0889,0.0,2.0,2.0,0.0,0.0323,0.0323,-0.0643,-0.0336,0.0307,5.0,-4.0,-9.0,0.208,0.2318,0.0238,0.3683,0.3569,-0.0114
77,1,RSC-SUB,12269,89.91,75.38,0.3247,0.3333,0.0665,0.0116,-0.0549,0.0,0.0,0.0,0.0,0.0,0.0,-0.0241,-0.0059,0.0182,0.0,-4.0,-4.0,0.6722,0.6969,0.0247,0.366,0.3523,-0.0137
77,1,V1-RSC,12269,74.77,89.64,0.5,0.3247,0.3803,0.1236,-0.2566,9.0,1.0,-8.0,0.3707,0.0077,-0.363,0.1366,0.1394,0.0028,0.0,3.0,3.0,0.4687,0.163,-0.3058,0.6647,0.6932,0.0285
98,0,CA1-RSC,15000,82.09,78.67,0.4286,0.4545,0.0273,0.0387,0.0114,0.0,0.0,0.0,0.0,0.0,0.0,0.1249,0.1184,-0.0064,2.0,4.0,2.0,0.3618,0.3311,-0.0307,0.4918,0.4978,0.006
100,0,CA1-RSC,10815,89.11,88.44,0.5455,0.5833,0.0102,0.097,0.0868,0.0,1.0,1.0,0.0,0.0047,0.0047,-0.0117,0.0394,0.0511,4.0,0.0,-4.0,0.6292,0.6437,0.0144,0.6432,0.6497,0.0065
100,0,CA1-DG,10815,89.23,88.8,0.5455,0.4286,0.1368,0.1959,0.0591,1.0,1.0,0.0,0.0095,0.0196,0.0101,-0.0651,-0.0855,-0.0203,0.0,0.0,0.0,0.618,0.6373,0.0193,0.5471,0.5247,-0.0224
100,0,CA1-V1,10815,85.94,82.05,0.5455,0.2333,-0.0779,0.768,0.8458,4.0,6.0,2.0,0.0509,1.2434,1.1925,-0.0232,-0.043,-0.0198,0.0,0.0,0.0,0.63,0.6432,0.0132,0.6535,0.5021,-0.1514
100,0,CA1-SUB,10815,87.6,80.37,0.4783,0.4,0.0291,0.0036,-0.0256,0.0,0.0,0.0,0.0,0.0,0.0,-0.0355,-0.0102,0.0252,-5.0,-1.0,4.0,0.6292,0.6439,0.0147,0.5544,0.5409,-0.0134
100,0,RSC-SUB,10815,86.64,88.25,0.52,0.4737,0.0192,0.0652,0.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0201,-0.0115,-0.0316,1.0,0.0,-1.0,0.6412,0.6476,0.0064,0.5551,0.5403,-0.0148
100,0,V1-RSC,10815,83.2,86.22,0.2759,0.4615,0.2212,-0.0422,-0.2634,6.0,4.0,-2.0,0.0831,0.6493,0.5662,0.0113,-0.0043,-0.0156,0.0,0.0,0.0,0.6482,0.4929,-0.1553,0.637,0.6389,0.0019
