pair,obs,exp,n
CA1-CA3,7,5.96820068359375,9
CA3-DG,3,4.218505859375,5
CA1-DG,6,5.9365234375,8
CA1-RSC,4,3.9686279296875,5
CA1-V1,6,7.320068359375,8
V1-RSC,4,5.6239013671875,8
RSC-SUB,2,1.9999923706054688,3
CA1-SUB,3,2.671875,3
