animal,learner,pair,cond,area,unit,contrib
41,1,CA1-V1,uncued,CA1,13,2.472907
41,1,CA1-V1,uncued,CA1,14,1.453046
41,1,CA1-V1,uncued,CA1,15,0.145306
41,1,CA1-V1,uncued,CA1,16,0.038969
41,1,CA1-V1,uncued,CA1,17,0.084565
41,1,CA1-V1,uncued,CA1,18,0.009573
41,1,CA1-V1,uncued,CA1,19,0.022634
41,1,CA1-V1,uncued,CA1,20,0.712373
41,1,CA1-V1,uncued,CA1,21,1.229611
41,1,CA1-V1,uncued,V1,0,0.053711
41,1,CA1-V1,uncued,V1,1,0.455009
41,1,CA1-V1,uncued,V1,2,0.050001
41,1,CA1-V1,uncued,V1,3,0.096248
41,1,CA1-V1,uncued,V1,4,0.069739
41,1,CA1-V1,uncued,V1,5,0.071657
41,1,CA1-V1,uncued,V1,6,0.14602
41,1,CA1-V1,uncued,V1,7,0.010936
41,1,CA1-V1,uncued,V1,8,0.029633
41,1,CA1-V1,uncued,V1,9,0.024648
41,1,CA1-V1,uncued,V1,10,0.098179
41,1,CA1-V1,uncued,V1,11,0.121865
41,1,CA1-V1,uncued,V1,12,0.046023
41,1,CA1-V1,uncued,V1,13,0.064924
41,1,CA1-V1,uncued,V1,14,0.034554
41,1,CA1-V1,uncued,V1,15,0.094532
41,1,CA1-V1,uncued,V1,16,0.575528
41,1,CA1-V1,uncued,V1,17,0.179973
41,1,CA1-V1,uncued,V1,18,0.050947
41,1,CA1-V1,uncued,V1,19,0.192691
41,1,CA1-V1,uncued,V1,20,0.066238
41,1,CA1-V1,uncued,V1,21,0.624331
41,1,CA1-V1,uncued,V1,22,0.165875
41,1,CA1-V1,uncued,V1,23,0.074113
41,1,CA1-V1,uncued,V1,24,0.131582
41,1,CA1-V1,uncued,V1,25,0.052255
41,1,CA1-V1,uncued,V1,26,0.041912
41,1,CA1-V1,uncued,V1,27,0.040856
41,1,CA1-V1,uncued,V1,28,0.086311
41,1,CA1-V1,uncued,V1,29,0.189477
41,1,CA1-V1,uncued,V1,30,0.02455
41,1,CA1-V1,uncued,V1,31,0.115291
41,1,CA1-V1,uncued,V1,32,0.14755
