animal,learner,pair,scope,n_bins,cc_kcca,cc_linear,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y
52,1,CA3-DG,naive,900,0.5046,0.5755,3,0.3981,0.0223,0,0.4823,0.3647
52,1,CA3-DG,intermediate,900,0.5513,0.8112,3,0.4182,0.2867,0,0.4328,0.4394
52,1,CA3-DG,expert,900,0.5743,0.5174,3,0.3591,0.0081,0,0.4937,0.3656
52,1,V1-RSC,session,900,0.0759,0.1391,1,0.0057,-0.09,-5,0.2694,0.2286
52,1,V1-RSC,naive,900,0.2603,0.2105,3,0.0642,-0.1187,0,0.2708,0.3237
52,1,V1-RSC,intermediate,900,0.15,0.1129,2,0.0254,0.2565,1,0.2642,0.1745
52,1,V1-RSC,expert,900,0.1377,0.241,1,0.0124,0.3866,4,0.3131,0.2383
61,1,CA1-RSC,session,900,0.1333,0.2596,2,0.0178,0.2143,0,0.3028,0.2601
61,1,CA1-RSC,naive,900,0.2236,0.1133,1,0.0257,-0.273,-6,0.4188,0.3067
61,1,CA1-RSC,intermediate,900,0.2354,0.218,3,0.0557,0.0342,2,0.4227,0.2572
61,1,CA1-RSC,expert,900,0.261,0.1854,3,0.0574,0.4035,0,0.3976,0.2822
61,1,CA1-CA3,session,900,0.1223,0.2229,1,0.0075,0.3763,0,0.3349,0.4006
61,1,CA1-CA3,naive,900,0.2694,0.2276,1,0.0377,0.0035,0,0.3671,0.445
61,1,CA1-CA3,intermediate,900,0.2132,0.1006,3,0.0526,-0.0886,0,0.3841,0.5196
61,1,CA1-CA3,expert,900,0.216,0.4183,1,0.0239,0.0373,0,0.3907,0.4367
61,1,CA1-DG,session,900,0.1859,0.1661,2,0.0279,-0.3078,0,0.2953,0.5115
61,1,CA1-DG,naive,900,0.2078,0.1443,2,0.0276,0.2842,0,0.3867,0.4158
61,1,CA1-DG,intermediate,900,0.2112,-0.0202,3,0.0323,-0.141,0,0.3982,0.5394
61,1,CA1-DG,expert,900,0.1823,0.2535,1,0.0169,0.1108,0,0.3965,0.5136
61,1,CA1-V1,session,900,0.042,0.1222,0,0.0,-0.4772,-1,0.266,0.3025
61,1,CA1-V1,naive,900,0.0222,0.0993,0,0.0,0.3066,5,0.4294,0.3846
61,1,CA1-V1,intermediate,900,0.073,0.0133,0,0.0,-0.0684,-7,0.3919,0.3217
61,1,CA1-V1,expert,900,0.1789,0.3315,1,0.0163,0.0141,-1,0.3658,0.3403
61,1,CA3-DG,session,900,0.3649,0.472,3,0.2331,-0.6831,0,0.4877,0.5766
61,1,CA3-DG,naive,900,0.3271,0.2717,3,0.1367,0.0184,0,0.5068,0.5499
61,1,CA3-DG,intermediate,900,0.4812,0.5695,3,0.2898,0.4507,0,0.4704,0.6261
61,1,CA3-DG,expert,900,0.5232,0.517,3,0.3494,-0.3666,0,0.5232,0.6456
61,1,V1-RSC,session,900,0.4408,0.5288,3,0.2304,-0.5975,0,0.3288,0.29
61,1,V1-RSC,naive,900,0.4251,0.3392,3,0.1676,0.1724,0,0.3384,0.3026
61,1,V1-RSC,intermediate,900,0.4292,0.4234,3,0.2475,0.2381,0,0.3557,0.2754
61,1,V1-RSC,expert,900,0.3615,0.6008,3,0.2309,0.2325,0,0.3457,0.2538
63,1,CA1-RSC,session,900,0.0795,0.0303,1,0.0032,0.4088,6,0.2741,0.2897
63,1,CA1-RSC,naive,900,0.0849,0.138,1,0.0169,-0.0289,-5,0.367,0.3275
63,1,CA1-RSC,intermediate,900,0.1152,0.0704,1,0.0067,0.0722,-6,0.1645,0.3096
63,1,CA1-RSC,expert,900,0.0537,0.0417,0,0.0,0.2308,0,0.3066,0.3035
