animal,learner,pair,block,n_trials,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,sh_x,sh_y,angle_x,angle_y,cc_kcca,gini_kcca_x,gini_kcca_y
73,1,RSC-SUB,t1-5,5,23508,0.0662,0,0.0,-0.0064,0,0.4654,0.1473,74.04,87.45,81.47,89.82,,,
73,1,RSC-SUB,t1-7,7,31824,0.0879,1,0.0039,-0.0024,0,0.4523,0.1402,71.61,69.24,77.41,88.23,,,
73,1,RSC-SUB,t1-10,10,43845,0.0816,2,0.008,-0.021,0,0.4506,0.1262,88.25,80.05,76.64,83.72,,,
73,1,RSC-SUB,late,10,22845,0.0439,0,0.0,-0.0297,-9,0.422,0.0598,83.88,88.13,,,,,
73,1,V1-RSC,t1-5,5,23508,0.0741,0,0.0,0.1134,4,0.4477,0.4793,84.91,82.11,89.21,89.15,,,
73,1,V1-RSC,t1-7,7,31824,0.0549,0,0.0,0.1144,4,0.4312,0.4608,73.13,83.93,83.91,89.89,,,
73,1,V1-RSC,t1-10,10,43845,0.0771,2,0.0062,0.1372,5,0.3802,0.4714,72.69,67.95,83.24,88.41,,,
73,1,V1-RSC,late,10,22845,0.1342,1,0.0091,0.0951,6,0.146,0.4342,86.39,81.16,,,,,
75,1,CA1-RSC,t1-5,5,12490,0.1594,11,0.9131,0.0322,-2,0.317,0.6312,85.97,83.02,82.3,87.94,,,
75,1,CA1-RSC,t1-7,7,17129,0.0721,12,1.7652,0.024,-5,0.3483,0.6355,84.1,82.35,89.75,85.66,,,
75,1,CA1-RSC,t1-10,10,25623,0.6113,12,0.5609,0.0892,3,0.2536,0.6353,88.5,85.12,75.19,84.62,,,
75,1,CA1-RSC,late,10,27884,0.3354,7,0.3332,0.0781,2,0.1316,0.595,79.39,88.66,,,,,
75,1,CA1-DG,t1-5,5,12490,0.8445,2,0.6724,-0.2321,-7,0.317,0.4859,88.82,88.62,89.35,87.71,,,
75,1,CA1-DG,t1-7,7,17129,0.6866,5,0.5396,-0.2232,-7,0.3484,0.4738,88.66,88.82,87.84,88.58,,,
75,1,CA1-DG,t1-10,10,25623,0.8126,13,1.7844,-0.1672,-7,0.2537,0.4502,70.58,70.4,85.93,87.83,,,
75,1,CA1-DG,late,10,27884,-0.5999,15,0.9655,-0.0925,0,0.1315,0.4135,85.8,84.66,,,,,
75,1,CA1-V1,t1-5,5,12490,0.4458,3,0.15,-0.0058,0,0.3165,0.2726,80.09,89.23,77.64,89.27,,,
75,1,CA1-V1,t1-7,7,17129,0.411,7,0.191,-0.0252,0,0.3478,0.2708,81.58,78.9,83.12,84.55,,,
75,1,CA1-V1,t1-10,10,25623,0.301,7,0.3902,-0.0133,0,0.2532,0.2718,78.4,84.33,87.83,89.37,,,
75,1,CA1-V1,late,10,27884,-0.8611,2,0.2525,-0.0021,0,0.1317,0.2628,71.05,82.69,,,,,
75,1,CA1-SUB,t1-5,5,12490,0.2736,8,0.2105,-0.0161,-5,0.3167,0.1209,89.38,89.14,81.81,80.76,,,
75,1,CA1-SUB,t1-7,7,17129,0.2259,8,0.5918,0.0069,0,0.348,0.1466,81.09,86.6,65.76,86.89,,,
75,1,CA1-SUB,t1-10,10,25623,0.0267,11,1.472,-0.0118,0,0.2535,0.1223,84.45,87.68,72.36,75.16,,,
75,1,CA1-SUB,late,10,27884,0.4063,11,1.0381,-0.0084,0,0.1315,0.1425,78.17,81.88,,,,,
75,1,RSC-SUB,t1-5,5,12490,0.7699,8,0.7642,-0.0369,0,0.6297,0.1135,60.56,65.81,88.37,74.48,,,
75,1,RSC-SUB,t1-7,7,17129,0.6178,14,0.5034,-0.0369,0,0.6333,0.1283,86.63,81.28,88.66,72.82,,,
75,1,RSC-SUB,t1-10,10,25623,0.6566,20,1.095,-0.0196,0,0.6352,0.1143,85.78,89.53,85.45,67.53,,,
75,1,RSC-SUB,late,10,27884,0.8059,10,2.0196,-0.0129,0,0.5959,0.1288,82.55,88.87,,,,,
75,1,V1-RSC,t1-5,5,12490,-0.2903,12,1.0145,-0.0021,0,0.2743,0.6267,86.13,84.85,76.22,87.59,,,
75,1,V1-RSC,t1-7,7,17129,-0.1702,12,0.5349,-0.0011,0,0.2662,0.6295,63.96,79.4,77.6,86.23,,,
75,1,V1-RSC,t1-10,10,25623,-0.0489,16,1.1658,-0.0001,0,0.2681,0.6311,79.9,88.93,81.91,89.43,,,
75,1,V1-RSC,late,10,27884,0.5209,12,1.6581,0.0246,0,0.2513,0.5893,74.9,72.78,,,,,
77,1,CA1-RSC,t1-5,5,16606,0.0844,0,0.0,-0.0268,0,0.1509,0.5381,83.15,89.78,65.61,87.05,,,
77,1,CA1-RSC,t1-7,7,24058,0.1068,1,0.0057,-0.0555,0,0.1629,0.5608,69.1,78.22,54.23,86.24,,,
77,1,CA1-RSC,t1-10,10,34692,0.112,1,0.0063,-0.0417,0,0.1806,0.5516,75.9,87.42,58.47,85.33,,,
77,1,CA1-RSC,late,10,25586,0.3259,5,0.1494,0.0361,2,0.1218,0.5139,55.6,77.52,,,,,
77,1,CA1-DG,t1-5,5,16606,-0.1488,2,0.0398,-0.1051,-3,0.1981,0.6239,76.75,65.98,79.31,84.61,,,
77,1,CA1-DG,t1-7,7,24058,-0.0541,1,0.0198,-0.1158,0,0.2348,0.6091,81.3,51.46,84.84,82.39,,,
77,1,CA1-DG,t1-10,10,34692,-0.0449,3,0.0709,-0.0988,0,0.2114,0.6492,58.92,57.67,78.27,75.62,,,
77,1,CA1-DG,late,10,25586,-0.1097,2,0.0406,0.055,0,0.2077,0.2075,66.63,61.2,,,,,
77,1,CA1-V1,t1-5,5,16606,0.0513,2,0.007,0.0077,0,0.1554,0.103,67.2,87.42,60.3,72.97,,,
77,1,CA1-V1,t1-7,7,24058,-0.1714,3,0.0651,0.0247,0,0.1643,0.1227,59.03,87.35,51.53,62.07,,,
77,1,CA1-V1,t1-10,10,34692,-0.1611,3,0.0631,0.0453,0,0.1821,0.1678,86.14,78.59,54.62,62.31,,,
77,1,CA1-V1,late,10,25586,0.2405,2,0.0515,-0.0059,0,0.1219,0.1001,67.72,74.44,,,,,
77,1,CA1-SUB,t1-5,5,16606,-0.0003,0,0.0,-0.0248,-1,0.2398,0.2982,77.21,76.48,61.66,83.93,,,
77,1,CA1-SUB,t1-7,7,24058,0.1937,3,0.0558,-0.0054,-4,0.1761,0.2292,66.38,70.64,83.54,80.3,,,
77,1,CA1-SUB,t1-10,10,34692,-0.2021,3,0.0584,0.0122,5,0.1609,0.2222,83.04,74.43,75.96,55.56,,,
77,1,CA1-SUB,late,10,25586,0.0147,0,0.0,-0.0125,-9,0.2099,0.2081,81.33,70.0,,,,,
77,1,RSC-SUB,t1-5,5,16606,0.0457,0,0.0,0.04,3,0.527,0.2961,77.89,81.97,87.01,33.63,,,
77,1,RSC-SUB,t1-7,7,24058,0.0407,0,0.0,0.0494,4,0.5352,0.2275,69.55,50.53,85.2,33.98,,,
77,1,RSC-SUB,t1-10,10,34692,0.0497,1,0.0028,-0.0093,-3,0.5351,0.2213,83.24,88.11,87.61,34.67,,,
77,1,RSC-SUB,late,10,25586,0.0363,0,0.0,0.0302,5,0.5282,0.2084,82.37,84.74,,,,,
77,1,V1-RSC,t1-5,5,16606,0.1794,0,0.0,0.0126,8,0.1354,0.5315,63.04,58.0,54.87,85.79,,,
77,1,V1-RSC,t1-7,7,24058,0.1901,2,0.038,0.019,0,0.1244,0.55,43.06,52.23,53.69,88.05,,,
77,1,V1-RSC,t1-10,10,34692,0.2405,2,0.0506,0.0135,0,0.1261,0.5472,29.66,50.22,54.48,87.39,,,
77,1,V1-RSC,late,10,25586,-0.0387,4,0.096,-0.0021,-3,0.0719,0.5094,21.43,53.41,,,,,
98,0,CA1-RSC,t1-5,5,23437,0.0767,0,0.0,0.091,-3,0.3691,0.18,83.33,84.79,67.92,83.84,,,
98,0,CA1-RSC,t1-7,7,32598,0.0848,1,0.0036,0.1408,3,0.3719,0.1833,81.53,69.82,64.76,85.99,,,
98,0,CA1-RSC,t1-10,10,44698,0.0931,1,0.0044,0.1524,3,0.3374,0.1722,67.7,59.15,70.67,79.71,,,
98,0,CA1-RSC,late,10,31435,0.0811,1,0.0033,0.0568,2,0.1381,0.1592,74.33,77.9,,,,,
