animal,learner,pair,block,n_trials,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,sh_x,sh_y,angle_x,angle_y,cc_kcca,gini_kcca_x,gini_kcca_y
52,1,CA1-CA3,t1-5,5,19651,0.1837,3,0.0372,-0.044,0,0.375,0.3609,89.73,80.08,86.42,81.74,,,
52,1,CA1-CA3,t1-7,7,26694,0.1868,4,0.0375,-0.0192,0,0.3822,0.3461,49.76,50.23,87.08,78.24,,,
52,1,CA1-CA3,t1-10,10,36887,0.1707,4,0.0352,-0.0143,0,0.3534,0.3282,51.55,62.48,89.46,80.91,,,
52,1,CA1-CA3,late,10,35803,0.2194,4,0.0424,0.1004,0,0.4202,0.4376,80.24,69.69,,,,,
52,1,CA1-DG,t1-5,5,19651,0.2649,9,0.1037,-0.038,0,0.3791,0.1664,66.29,61.01,83.21,65.16,,,
52,1,CA1-DG,t1-7,7,26694,0.2752,7,0.0967,-0.0531,0,0.3833,0.1795,61.81,64.31,82.12,62.77,,,
52,1,CA1-DG,t1-10,10,36887,0.2187,14,0.2107,-0.0367,0,0.3536,0.1669,83.85,85.39,89.75,72.39,,,
52,1,CA1-DG,late,10,35803,0.5005,14,0.4684,0.0218,0,0.4225,0.1733,57.8,68.59,,,,,
52,1,CA1-V1,t1-5,5,19651,0.1356,1,0.0137,-0.0215,-10,0.3741,0.3375,77.29,86.54,87.93,84.3,,,
52,1,CA1-V1,t1-7,7,26694,0.1581,3,0.0683,-0.0231,0,0.383,0.3267,82.62,86.84,88.86,89.34,,,
52,1,CA1-V1,t1-10,10,36887,0.2569,12,0.234,-0.0203,0,0.3538,0.2966,76.81,67.33,87.88,89.84,,,
52,1,CA1-V1,late,10,35803,0.4008,8,0.3656,-0.0101,0,0.4229,0.4228,89.04,59.26,,,,,
52,1,CA3-DG,t1-5,5,19651,0.5821,17,0.8765,0.0224,0,0.3619,0.1615,55.26,61.19,72.26,83.89,,,
52,1,CA3-DG,t1-7,7,26694,0.5686,17,0.826,0.0267,0,0.3449,0.1768,74.71,74.3,68.41,77.0,,,
52,1,CA3-DG,t1-10,10,36887,0.5812,22,0.9768,0.0307,0,0.3283,0.1642,41.71,37.17,66.5,73.11,,,
52,1,CA3-DG,late,10,35803,0.5348,6,0.3326,0.0562,0,0.4411,0.1705,46.78,48.44,,,,,
52,1,V1-RSC,t1-5,5,19651,0.25,2,0.0494,-0.0214,-7,0.3092,0.137,81.93,60.55,85.96,69.26,,,
52,1,V1-RSC,t1-7,7,26694,0.2058,4,0.0622,0.0042,0,0.315,0.1073,72.63,43.44,87.47,61.22,,,
52,1,V1-RSC,t1-10,10,36887,0.0267,2,0.0423,0.0136,0,0.2694,0.0968,63.69,59.5,86.86,61.04,,,
52,1,V1-RSC,late,10,35803,0.0109,3,0.0914,0.0176,1,0.4031,0.0887,82.88,61.34,,,,,
61,1,CA1-RSC,t1-5,5,14530,0.0865,0,0.0,0.0601,4,0.4685,0.373,86.86,85.91,81.47,89.59,,,
61,1,CA1-RSC,t1-7,7,20000,0.1166,1,0.0068,0.0727,4,0.4591,0.3883,89.27,74.42,82.55,89.33,,,
61,1,CA1-RSC,t1-10,10,28149,0.0784,0,0.0,0.0628,6,0.4549,0.3919,80.36,81.96,82.62,84.21,,,
61,1,CA1-RSC,late,10,32475,0.1181,3,0.0195,0.055,0,0.4286,0.3163,67.8,69.6,,,,,
61,1,CA1-CA3,t1-5,5,14530,0.1387,1,0.0097,-0.0847,-2,0.4701,0.2989,74.35,86.0,88.34,88.55,,,
61,1,CA1-CA3,t1-7,7,20000,0.1573,1,0.0125,-0.0867,-2,0.4586,0.3048,88.47,89.03,88.32,89.47,,,
61,1,CA1-CA3,t1-10,10,28149,0.3636,9,0.651,-0.085,-3,0.4545,0.3037,76.94,87.36,87.76,89.6,,,
61,1,CA1-CA3,late,10,32475,0.361,9,0.248,-0.0304,0,0.4258,0.9899,61.15,68.68,,,,,
61,1,CA1-DG,t1-5,5,14530,0.154,1,0.012,-0.0003,0,0.4753,0.215,76.05,84.72,88.24,89.73,,,
61,1,CA1-DG,t1-7,7,20000,0.1623,1,0.0133,-0.0127,0,0.4624,0.1728,79.18,85.82,88.79,89.26,,,
61,1,CA1-DG,t1-10,10,28149,0.114,1,0.0065,-0.0322,0,0.4578,0.1812,86.7,71.18,86.86,79.01,,,
61,1,CA1-DG,late,10,32475,0.1707,2,0.0189,-0.0064,0,0.4367,0.199,67.68,65.46,,,,,
61,1,CA1-V1,t1-5,5,14530,0.0806,0,0.0,-0.0159,0,0.4687,0.4376,88.19,85.26,83.48,88.4,,,
61,1,CA1-V1,t1-7,7,20000,0.1761,2,0.024,-0.0196,0,0.4594,0.45,81.82,69.69,82.24,86.86,,,
61,1,CA1-V1,t1-10,10,28149,0.1773,3,0.0372,-0.0116,0,0.457,0.438,89.24,78.42,87.69,85.95,,,
61,1,CA1-V1,late,10,32475,0.1116,0,0.0,-0.0299,0,0.4289,0.368,85.28,81.93,,,,,
61,1,CA3-DG,t1-5,5,14530,0.2342,4,0.1433,-0.0438,0,0.3113,0.2115,87.6,87.01,88.02,85.45,,,
61,1,CA3-DG,t1-7,7,20000,0.1866,4,0.0997,-0.048,0,0.3119,0.171,69.33,71.18,88.6,86.26,,,
61,1,CA3-DG,t1-10,10,28149,0.232,5,0.1178,-0.0616,0,0.6893,0.9358,33.61,46.27,89.98,89.84,,,
61,1,CA3-DG,late,10,32475,0.2675,5,0.1819,-0.0535,0,0.7152,0.1937,10.19,53.91,,,,,
