method,pair,stat,contrast,n_animals,n_obs,estimate,p,p_within_pair_fdr_pass,ok,reason
collapsed,CA1-V1,mi_sig,expert-naive,10,180,0.003800358096671376,0.6953125,False,True,collapsed
collapsed,CA1-V1,mi_sig,expert-intermediate,10,180,0.029226485766600082,0.76953125,False,True,collapsed
collapsed,CA1-V1,mi_sig,intermediate-naive,10,180,0.020091537909337105,0.625,False,True,collapsed
collapsed,CA1-V1,ifi_weighted,expert-naive,10,180,0.04730359919670839,0.02734375,False,True,collapsed
collapsed,CA1-V1,ifi_weighted,expert-intermediate,10,180,0.01671305797097416,0.76953125,False,True,collapsed
collapsed,CA1-V1,ifi_weighted,intermediate-naive,10,180,0.060656054332646356,0.232421875,False,True,collapsed
lmm_randslope,CA1-V1,mi_sig,expert-naive,10,180,0.010216043212509785,0.6805653280825033,False,True,
lmm_randslope,CA1-V1,mi_sig,expert-intermediate,10,180,-0.0012158321308621978,0.9571312343444621,False,True,
lmm_randslope,CA1-V1,mi_sig,intermediate-naive,10,180,0.011431875343371983,0.6248133084757835,False,True,
lmm_randslope,CA1-V1,ifi_weighted,expert-naive,10,180,0.05856059102782265,0.054612260365525765,False,True,
lmm_randslope,CA1-V1,ifi_weighted,expert-intermediate,10,180,0.012784369616009914,0.6672252250187897,False,True,
lmm_randslope,CA1-V1,ifi_weighted,intermediate-naive,10,180,0.045776221411812736,0.16615104972947203,False,True,
collapsed,CA1-DG,mi_sig,expert-naive,8,144,0.0017234071177005487,0.9453125,False,True,collapsed
collapsed,CA1-DG,mi_sig,expert-intermediate,8,144,0.009561728173909156,0.9453125,False,True,collapsed
collapsed,CA1-DG,mi_sig,intermediate-naive,8,144,0.0011261278012216977,0.7421875,False,True,collapsed
collapsed,CA1-DG,ifi_weighted,expert-naive,8,144,-2.8042622745642204e-05,0.640625,False,True,collapsed
collapsed,CA1-DG,ifi_weighted,expert-intermediate,8,144,-0.06850083289578443,0.25,False,True,collapsed
collapsed,CA1-DG,ifi_weighted,intermediate-naive,8,144,0.030229325214023984,0.7421875,False,True,collapsed
lmm_randslope,CA1-DG,mi_sig,expert-naive,8,144,0.009536893205855124,0.723464591888004,False,True,
lmm_randslope,CA1-DG,mi_sig,expert-intermediate,8,144,-0.004961087074670101,0.8719870554244624,False,True,
