pair,window_bins,window_ms,n_animals,ifi_naive,ifi_expert,delta,t,p
CA1-RSC,1,10,8,0.07800022551585198,0.07740930338568046,-0.0005909221301715166,-0.009127954982066535,0.9929717422776345
CA1-RSC,2,20,8,0.09618060609697418,0.11919093728485422,0.02301033118788005,0.36185731323359016,0.7281353362096349
CA1-RSC,3,30,8,0.11840133114547408,0.13780086454664697,0.019399533401172883,0.3156635232250335,0.7614610715901188
CA1-RSC,4,40,8,0.13531289458268025,0.15990545043493887,0.024592555852258627,0.37613535210115345,0.7179569118183042
CA1-RSC,5,50,8,0.14772935113937086,0.17087439025064977,0.023145039111278923,0.3615257098139763,0.7283724376333958
CA1-RSC,6,60,8,0.1557908312094748,0.16939912501413584,0.013608293804661057,0.22644451770265783,0.8273260457454691
CA1-RSC,7,70,8,0.15001287615977837,0.16017872319885698,0.010165847039078628,0.17039928391356948,0.8695166230238904
CA1-RSC,8,80,8,0.136815351116019,0.14788837445207645,0.011073023336057426,0.18884713065158137,0.8555712077666717
CA1-RSC,9,90,8,0.10344854603561887,0.1240505573209825,0.020602011285363625,0.36247044141478607,0.7276970244335972
CA1-RSC,10,100,8,0.0818535528275148,0.09356982464827712,0.011716271820762328,0.23405173651265862,0.8216427662023106
CA1-RSC,11,110,8,0.07689709422511162,0.07238479741046136,-0.004512296814650248,-0.1292002043882951,0.9008332330095586
CA1-RSC,12,120,8,0.07930911797869936,0.06186377330622356,-0.017445344672475792,-0.7026967526135911,0.5049350335412084
CA1-RSC,13,130,8,0.08098247890774234,0.057854072687072856,-0.023128406220669483,-0.9401203611354028,0.37845607402073045
CA1-RSC,14,140,8,0.07575672800397543,0.05892176896342739,-0.016834959040548034,-0.7059724671934551,0.5030170684633777
CA1-RSC,15,150,8,0.07262688887786112,0.06981240878022288,-0.0028144800976382268,-0.12012613243566213,0.9077583825153328
CA1-RSC,16,160,8,0.0701848756109312,0.08529709069590781,0.015112215084976616,0.6215479561211459,0.5539335767843017
CA1-RSC,17,170,8,0.06922279927051338,0.08911864451330394,0.019895845242790557,0.802197751218602,0.4488112426297265
CA1-RSC,18,180,8,0.07266649022722005,0.09414555404044933,0.02147906381322927,0.8149307251167808,0.44195162949750344
CA1-RSC,19,190,8,0.07235855451309527,0.09611821077718777,0.023759656264092502,0.9041433100519612,0.3959686394761486
CA1-RSC,20,200,8,0.0671034107990754,0.0960982519840268,0.028994841184951395,1.0741057185239617,0.3183997066892983
CA1-RSC,21,210,8,0.05725535705029016,0.09290854375278704,0.03565318670249687,1.3741772312838298,0.21176847595167364
CA1-RSC,22,220,8,0.04835483789191666,0.08700336827493078,0.03864853038301412,1.5286144940342126,0.17020547579033396
CA1-RSC,23,230,8,0.03513608236507043,0.07855687382265447,0.04342079145758404,1.7001732453131846,0.1328954235358945
CA1-RSC,24,240,8,0.021862291659012156,0.06841405372245278,0.046551762063440624,1.7214173526481624,0.12885074634119842
CA1-RSC,25,250,8,0.01736772878076695,0.06040083477822038,0.04303310599745343,1.5221261241684547,0.17179068877243484
CA1-CA3,1,10,7,0.17339200702068513,0.08182817096436876,-0.09156383605631636,-0.8158872843332875,0.44573819414719307
CA1-CA3,2,20,7,0.23877415089185527,0.12301091725812172,-0.11576323363373353,-0.9380231733016801,0.3844386437799857
CA1-CA3,3,30,7,0.2851034467247122,0.18420033043071524,-0.10090311629399697,-0.815503114623171,0.44594170885966355
CA1-CA3,4,40,7,0.30215140782526434,0.20821497412948453,-0.09393643369577978,-0.7622802819027719,0.4747821678449171
CA1-CA3,5,50,7,0.30494741380204465,0.2133896324589604,-0.09155778134308426,-0.7500678240994036,0.48157987541790326
CA1-CA3,6,60,7,0.30494741380204465,0.21338963245896042,-0.09155778134308427,-0.7500678240994035,0.48157987541790326
CA1-CA3,7,70,7,0.30494741380204476,0.2133896324589604,-0.09155778134308434,-0.7500678240994041,0.4815798754179029
CA1-CA3,8,80,7,0.30494741380204465,0.2133896324589604,-0.09155778134308427,-0.7500678240994036,0.48157987541790326
CA1-CA3,9,90,7,0.2905149128063185,0.20728835839160403,-0.08322655441471448,-0.7664281802971862,0.47248858789412906
CA1-CA3,10,100,7,0.2500626835241571,0.18797406821257598,-0.062088615311581094,-0.7392450457001324,0.48765984910067595
CA1-CA3,11,110,7,0.16275564420532504,0.13704851044679117,-0.025707133758533847,-0.4108081200790878,0.6954816591094448
CA1-CA3,12,120,7,0.07981009388948516,0.08308333861678309,0.003273244727297911,0.0894406994550504,0.9316425293273665
CA1-CA3,13,130,7,0.03631621233284458,0.051784257675971536,0.01546804534312696,0.8116308969231179,0.44799676347141637
CA1-CA3,14,140,7,0.03112659471094185,0.04406066258811906,0.012934067877177198,0.7206322155827793,0.4982381388878224
CA1-CA3,15,150,7,0.04447104468630242,0.05109961579501941,0.006628571108716992,0.27036421806462496,0.7959393882889045
CA1-CA3,16,160,7,0.06578897014826522,0.06507674163722879,-0.0007122285110364257,-0.024159498911294403,0.9815088345996849
CA1-CA3,17,170,7,0.08681272978364117,0.08116523219537439,-0.005647497588266778,-0.1820457237980251,0.8615415947898015
CA1-CA3,18,180,7,0.09756875314385369,0.08611412457821639,-0.011454628565637318,-0.3583820254104948,0.732329417951571
CA1-CA3,19,190,7,0.09946161190941638,0.08815471616050499,-0.011306895748911408,-0.35712985035923556,0.7332196578339053
CA1-CA3,20,200,7,0.09946161190941635,0.08863115356367764,-0.010830458345738722,-0.3460092496705104,0.7411457120933007
CA1-CA3,21,210,7,0.09946161190941641,0.08863115356367761,-0.010830458345738776,-0.3460092496705121,0.7411457120932994
CA1-CA3,22,220,7,0.09946161190941635,0.08863115356367764,-0.010830458345738725,-0.34600924967051044,0.7411457120933007
CA1-CA3,23,230,7,0.0953208398811437,0.08588241749296484,-0.009438422388178868,-0.33190245936326795,0.7512503154624965
CA1-CA3,24,240,7,0.0828379609327338,0.07784826318262775,-0.004989697750106025,-0.20404540178920483,0.8450629869076449
CA1-CA3,25,250,7,0.057937683997372875,0.05883586570757348,0.0008981817102005971,0.045204157830100455,0.9654115169213403
CA1-DG,1,10,8,0.033198956814040295,-0.02055336221976324,-0.05375231903380355,-2.0590270762068084,0.07847772166493891
CA1-DG,2,20,8,0.1064927960754702,0.03143806417747784,-0.07505473189799236,-1.9276257177078544,0.09525465951653951
CA1-DG,3,30,8,0.16330170586171294,0.03942056182113857,-0.12388114404057439,-2.515011487077215,0.04010194827543138
CA1-DG,4,40,8,0.17512642407265452,0.014976357404425919,-0.1601500666682286,-2.559913527722634,0.037556345981517476
CA1-DG,5,50,8,0.1765056887274684,0.011787228742717967,-0.16471845998475046,-2.493310035834622,0.041395518396545955
CA1-DG,6,60,8,0.17650568872746844,0.01178722874271794,-0.1647184599847505,-2.4933100358346225,0.04139551839654593
CA1-DG,7,70,8,0.1765056887274684,0.011787228742717912,-0.1647184599847505,-2.4933100358346225,0.04139551839654593
CA1-DG,8,80,8,0.1765056887274684,0.011787228742717926,-0.1647184599847505,-2.4933100358346225,0.04139551839654593
CA1-DG,9,90,8,0.1730811406644966,0.007810806351132765,-0.16527033431336383,-2.7211717174210017,0.02971524368043843
CA1-DG,10,100,8,0.14579803575804198,0.019128589331784032,-0.12666944642625794,-2.5292663000694606,0.03927502886066311
CA1-DG,11,110,8,0.08764196112341847,0.03718954740921372,-0.050452413714204745,-1.4255159679736353,0.19703788403194963
CA1-DG,12,120,8,0.047785833079681046,0.04210204867211897,-0.005683784407562079,-0.1859756272284957,0.8577383910029585
CA1-DG,13,130,8,0.02872540979233336,0.04169913360476644,0.012973723812433082,0.42053603126098277,0.6867031618874072
CA1-DG,14,140,8,0.02589977377838791,0.04239801904837848,0.016498245269990563,0.5507454258888231,0.5989365242297156
CA1-DG,15,150,8,0.03510320192792607,0.03993528101400882,0.004832079086082748,0.16567916467331623,0.8730929740102518
CA1-DG,16,160,8,0.044686635811219205,0.03545699105287573,-0.00922964475834347,-0.3169165322248742,0.7605495134497817
CA1-DG,17,170,8,0.051908970722012726,0.028286104379590483,-0.023622866342422236,-0.6777306245176873,0.5197074355700535
CA1-DG,18,180,8,0.05349244477612518,0.02334438840050078,-0.030148056375624396,-0.803588017888315,0.4480586778696537
CA1-DG,19,190,8,0.053492444776125164,0.022313043199702707,-0.03117940157642246,-0.8133975220223837,0.44277369917265863
CA1-DG,20,200,8,0.053492444776125164,0.022313043199702728,-0.031179401576422437,-0.8133975220223829,0.44277369917265896
CA1-DG,21,210,8,0.05349244477612516,0.022313043199702717,-0.03117940157642244,-0.813397522022383,0.44277369917265896
CA1-DG,22,220,8,0.05196528689954667,0.019578279627929667,-0.032387007271616995,-0.8485422087201712,0.4241995140385978
CA1-DG,23,230,8,0.046891178364947016,0.015472971640776077,-0.03141820672417093,-0.863731323222906,0.41634679364059446
CA1-DG,24,240,8,0.038838398537589955,0.018102827207501844,-0.02073557133008811,-0.6150740773372576,0.5579632390203484
CA1-DG,25,250,8,0.024854901921102252,0.023081953347987565,-0.0017729485731146858,-0.05508925299513961,0.9576067213030176
CA1-V1,1,10,10,0.04030433150607954,-0.009071371798040254,-0.04937570330411978,-1.4291649757372513,0.18673349583564364
CA1-V1,2,20,10,0.03206644912289857,-0.0016959876226714508,-0.033762436745570015,-1.0000559088044647,0.34341077600339215
CA1-V1,3,30,10,0.02626279889836249,-0.005637383328700597,-0.03190018222706308,-0.978643581555606,0.3533278666284425
CA1-V1,4,40,10,0.018643812741473188,-0.009907285096148306,-0.028551097837621497,-0.9766157619273363,0.35427796949906565
CA1-V1,5,50,10,0.01745595096534181,-0.010735280847716282,-0.028191231813058097,-1.0850947150313017,0.30608865881076974
CA1-V1,6,60,10,0.007942911391501929,-0.012025881910160947,-0.01996879330166288,-0.8775467962866158,0.4030071618325475
CA1-V1,7,70,10,0.008126287043097901,-0.010892458282333112,-0.019018745325431012,-0.9962669146264634,0.34515031925302264
CA1-V1,8,80,10,0.006483398076990265,-0.010159407747767015,-0.016642805824757283,-0.9116019734323162,0.3857445173369919
CA1-V1,9,90,10,0.001029820586680588,-0.011910850704997925,-0.012940671291678515,-0.7835109988179744,0.45345159510082533
CA1-V1,10,100,10,0.0006480128934142667,-0.01176537511372618,-0.012413388007140447,-0.7807078603098389,0.4550174730956351
CA1-V1,11,110,10,-0.005130060805516245,-0.009768373069432559,-0.004638312263916316,-0.32941641373790514,0.7493779585027507
CA1-V1,12,120,10,-0.01004384516444345,-0.009496072959647288,0.0005477722047961646,0.040677707736722066,0.9684409289101882
CA1-V1,13,130,10,-0.01154138486719394,-0.009748718039731801,0.0017926668274621394,0.1384373647739128,0.8929427833798257
CA1-V1,14,140,10,-0.02017278482297159,-0.010138712369272624,0.010034072453698967,0.9040382270713128,0.3895322400651947
CA1-V1,15,150,10,-0.026492290735585892,-0.00952781650176817,0.01696447423381773,1.572633613737262,0.1502538727027963
CA1-V1,16,160,10,-0.030112409645659942,-0.009499057295470886,0.020613352350189056,1.7171247397973757,0.12008544336127494
CA1-V1,17,170,10,-0.03308544827083438,-0.008060133538170491,0.025025314732663884,2.1232642839964235,0.06270414335202985
CA1-V1,18,180,10,-0.03458435725470206,-0.00734901672604979,0.027235340528652275,2.159943911532076,0.05907286069932055
CA1-V1,19,190,10,-0.03400582073259882,-0.007215039253562673,0.02679078147903615,1.8607355300332378,0.09570120286765015
CA1-V1,20,200,10,-0.03721088425823111,-0.008731206342660081,0.028479677915571027,1.7756575281270683,0.10952448375931673
CA1-V1,21,210,10,-0.03968965592087589,-0.009741901687636358,0.029947754233239532,1.7298990929359155,0.11770368941652667
CA1-V1,22,220,10,-0.04147096731892817,-0.010687424744473411,0.030783542574454766,1.6659659650738703,0.13007262538059303
CA1-V1,23,230,10,-0.045627458028328405,-0.010620304325549553,0.03500715370277886,1.8348065032799918,0.09973132596542551
CA1-V1,24,240,10,-0.0514830959114692,-0.011611764833407296,0.039871331078061914,1.9700980543216289,0.08032945144405583
CA1-V1,25,250,10,-0.05412917836681891,-0.011481370401589402,0.04264780796522952,1.9191768986712925,0.08717134886150829
CA3-DG,1,10,4,-0.06291947777017762,-0.07943046603588885,-0.01651098826571123,-0.5138823961452516,0.6427898868469928
CA3-DG,2,20,4,-0.10901080947281602,-0.11455235700288047,-0.005541547530064448,-0.09263543715360983,0.932032733532262
CA3-DG,3,30,4,-0.14592403235446083,-0.13339956050919155,0.01252447184526926,0.14290976981236028,0.8954201686918526
CA3-DG,4,40,4,-0.16886415564640544,-0.13771561465117227,0.031148540995233148,0.26455108861323984,0.8084895795672572
CA3-DG,5,50,4,-0.17678756692268405,-0.13139916064266627,0.04538840628001775,0.35635545155366477,0.7451629636212819
CA3-DG,6,60,4,-0.176787566922684,-0.13020948164454815,0.04657808527813587,0.3623923536379861,0.7410839717056229
CA3-DG,7,70,4,-0.176787566922684,-0.13020948164454818,0.04657808527813581,0.3623923536379855,0.7410839717056233
CA3-DG,8,80,4,-0.17678756692268402,-0.1302094816445481,0.04657808527813592,0.36239235363798655,0.7410839717056226
CA3-DG,9,90,4,-0.17258254846701507,-0.1302311080427752,0.042351440424239856,0.3404269826662296,0.7559790270496656
CA3-DG,10,100,4,-0.13100608182182255,-0.09909388074373837,0.03191220107808415,0.3055455482195381,0.7799249006975226
CA3-DG,11,110,4,-0.08265356549777143,-0.05268077972970907,0.029972785768062372,0.39391986570489296,0.7199697181427009
CA3-DG,12,120,4,-0.05103776102864216,-0.017850839650443418,0.03318692137819874,0.6122855482629407,0.5836332794669192
CA3-DG,13,130,4,-0.03919957194119196,-0.00932617187137368,0.029873400069818284,0.7717425929211058,0.4964841121292944
