animal,learner,pair,scope,n_bins,cc_kcca,cc_linear,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y
52,1,CA1-V1,naive,900,0.159,0.0473,1,0.0128,0.9171,0,0.4247,0.2993
52,1,CA1-V1,intermediate,900,-0.0077,0.1384,2,0.0142,-0.1048,2,0.3542,0.3204
52,1,CA1-V1,expert,900,0.2883,0.1706,3,0.0698,-0.2703,0,0.3732,0.3464
52,1,CA3-DG,session,900,0.5176,0.5824,3,0.2751,-0.1017,0,0.4957,0.3497
52,1,CA3-DG,naive,900,0.5483,0.7585,3,0.3099,0.2572,0,0.481,0.4257
52,1,CA3-DG,intermediate,900,0.491,0.6419,3,0.3255,-0.4679,0,0.4439,0.368
52,1,CA3-DG,expert,900,0.5004,0.5491,3,0.3071,-0.657,0,0.4762,0.3168
52,1,V1-RSC,session,900,0.2108,0.135,1,0.0227,0.3788,0,0.3098,0.2576
52,1,V1-RSC,naive,900,0.2549,0.1912,3,0.0512,-0.0486,0,0.3068,0.3408
52,1,V1-RSC,intermediate,900,0.2379,0.3108,1,0.0291,-0.244,0,0.298,0.2589
52,1,V1-RSC,expert,900,0.2877,0.4152,2,0.0762,-0.1072,0,0.3472,0.3271
61,1,CA1-RSC,session,900,0.1255,0.1022,1,0.0079,-0.3868,0,0.3486,0.2552
61,1,CA1-RSC,naive,900,0.02,-0.0825,0,0.0,0.303,1,0.3955,0.3236
61,1,CA1-RSC,intermediate,900,0.1169,0.0345,2,0.0192,0.2461,2,0.3778,0.3066
61,1,CA1-RSC,expert,900,0.0216,0.1034,1,0.0023,-0.0321,-1,0.3901,0.2707
61,1,CA1-CA3,session,900,0.1412,0.0994,1,0.0101,-0.2829,0,0.3542,0.4469
61,1,CA1-CA3,naive,900,0.0424,0.2841,1,0.0065,-1.0,0,0.4165,0.4166
61,1,CA1-CA3,intermediate,900,0.2509,0.2488,2,0.0338,-0.2346,0,0.3805,0.4324
61,1,CA1-CA3,expert,900,0.2182,0.1987,3,0.0392,0.216,0,0.3985,0.5226
61,1,CA1-DG,session,900,0.1954,0.2287,1,0.0195,-0.0433,0,0.348,0.5315
61,1,CA1-DG,naive,900,0.2187,0.1694,1,0.0245,-0.8634,0,0.3919,0.5288
61,1,CA1-DG,intermediate,900,0.2734,0.2765,3,0.0506,1.0,0,0.3764,0.5359
61,1,CA1-DG,expert,900,0.1847,0.0987,2,0.0196,-0.0204,0,0.4428,0.5308
61,1,CA1-V1,session,900,0.0098,-0.0274,0,0.0,-0.0399,0,0.3294,0.3126
61,1,CA1-V1,naive,900,-0.062,0.0927,1,0.0092,-0.0067,2,0.4301,0.3801
61,1,CA1-V1,intermediate,900,0.0663,-0.0292,2,0.0066,0.7549,3,0.3957,0.3464
61,1,CA1-V1,expert,900,0.0197,0.1913,0,0.0,0.627,4,0.4077,0.3713
61,1,CA3-DG,session,900,0.3328,0.151,3,0.103,-0.0266,0,0.4413,0.589
61,1,CA3-DG,naive,900,0.3963,0.438,3,0.1713,-0.8839,0,0.4886,0.5282
61,1,CA3-DG,intermediate,900,0.2882,0.0546,3,0.1294,0.3215,0,0.4593,0.6244
61,1,CA3-DG,expert,900,0.3662,0.4194,3,0.1436,0.0144,0,0.4741,0.6479
61,1,V1-RSC,session,900,0.3167,0.2699,3,0.1351,-0.0385,0,0.3709,0.2911
61,1,V1-RSC,naive,900,0.2786,0.3024,3,0.0634,0.3722,0,0.3566,0.2884
61,1,V1-RSC,intermediate,900,0.3959,0.306,3,0.1246,0.2517,0,0.3376,0.3299
61,1,V1-RSC,expert,900,0.2411,0.4128,3,0.089,0.1671,2,0.3623,0.3357
63,1,CA1-RSC,session,900,0.203,0.1444,2,0.0212,-0.9586,0,0.2488,0.2356
63,1,CA1-RSC,naive,900,0.1438,0.1273,1,0.0105,-0.0627,0,0.3604,0.313
63,1,CA1-RSC,intermediate,900,0.1101,0.0121,1,0.0061,-0.2006,0,0.3806,0.2927
63,1,CA1-RSC,expert,900,0.163,0.0977,1,0.0135,0.3709,0,0.3261,0.2834
66,1,CA1-RSC,session,900,0.0979,0.0818,1,0.0048,-0.4379,-1,0.3004,0.3376
66,1,CA1-RSC,naive,900,0.0396,0.1556,0,0.0,-0.341,-4,0.374,0.3259
66,1,CA1-RSC,intermediate,900,0.2208,0.1137,2,0.0302,0.5238,4,0.3074,0.286
66,1,CA1-RSC,expert,900,0.0288,-0.0097,0,0.0,-0.1302,-1,0.3567,0.3929
66,1,CA1-DG,session,900,0.2664,0.1636,2,0.0565,-0.1794,0,0.3869,0.3852
66,1,CA1-DG,naive,900,0.3574,0.2677,2,0.0808,-0.2384,0,0.3475,0.3287
66,1,CA1-DG,intermediate,900,0.3482,0.3248,3,0.0746,0.2203,0,0.3674,0.378
66,1,CA1-DG,expert,900,0.3016,0.2934,3,0.0692,-0.0282,0,0.3867,0.3876
66,1,CA1-V1,session,900,0.0329,-0.0099,1,0.0016,0.5271,0,0.3585,0.2128
66,1,CA1-V1,naive,900,0.0536,0.0985,0,0.0,-0.4168,-1,0.4348,0.2529
66,1,CA1-V1,intermediate,900,0.0174,-0.0922,2,0.0037,-0.0706,4,0.3459,0.2869
66,1,CA1-V1,expert,900,-0.0118,0.0626,0,0.0,-0.2886,1,0.3808,0.3409
66,1,CA1-SUB,session,900,0.0449,0.0698,0,0.0,0.4074,1,0.3278,0.2329
66,1,CA1-SUB,naive,900,0.1008,0.0005,3,0.0183,-0.5805,0,0.4556,0.2931
66,1,CA1-SUB,intermediate,900,0.1045,-0.0608,3,0.0198,0.1334,4,0.3493,0.2822
66,1,CA1-SUB,expert,900,0.1119,-0.0453,2,0.0085,0.078,0,0.2997,0.359
66,1,RSC-SUB,session,900,-0.0151,-0.0781,0,0.0,0.1193,2,0.2161,0.2548
66,1,RSC-SUB,naive,900,0.0852,-0.0427,1,0.0036,-0.2397,-2,0.2256,0.166
66,1,RSC-SUB,intermediate,900,0.1104,0.1477,1,0.0061,-0.2277,0,0.2823,0.2282
66,1,RSC-SUB,expert,900,0.0547,0.1576,0,0.0,0.0969,3,0.3038,0.228
66,1,V1-RSC,session,900,0.1154,0.15,3,0.0158,0.3808,4,0.2067,0.2472
66,1,V1-RSC,naive,900,0.1849,0.0289,1,0.0174,0.2187,0,0.2829,0.274
66,1,V1-RSC,intermediate,900,0.0979,-0.0137,3,0.0211,-0.5947,0,0.2807,0.2615
66,1,V1-RSC,expert,900,0.1306,0.0614,3,0.028,-0.8275,-1,0.2957,0.2094
68,1,CA1-RSC,session,900,0.0691,-0.0474,0,0.0,-1.0,-3,0.2381,0.2063
68,1,CA1-RSC,naive,900,-0.0062,-0.102,1,0.0039,-0.2385,-3,0.2637,0.2908
68,1,CA1-RSC,intermediate,900,-0.0764,0.0254,0,0.0,0.146,4,0.3426,0.257
68,1,CA1-RSC,expert,900,0.0818,0.1388,0,0.0,-0.3304,0,0.2765,0.2846
68,1,CA1-CA3,session,900,0.4376,0.45,3,0.1239,0.6551,0,0.439,0.4248
68,1,CA1-CA3,naive,900,0.4491,0.4798,3,0.1424,-0.1147,0,0.3936,0.492
68,1,CA1-CA3,intermediate,900,0.4887,0.4727,2,0.1817,-0.5017,0,0.3814,0.3952
68,1,CA1-CA3,expert,900,0.442,0.4661,2,0.1269,-0.2793,0,0.3748,0.411
68,1,CA1-DG,session,900,0.2867,0.2782,2,0.0546,-0.4341,0,0.3078,0.3912
68,1,CA1-DG,naive,900,0.2439,0.2499,3,0.0369,0.7522,0,0.3022,0.2497
68,1,CA1-DG,intermediate,900,0.1486,0.1431,2,0.0214,-0.4674,0,0.2607,0.3253
68,1,CA1-DG,expert,900,0.2743,0.2748,2,0.0527,-0.3353,0,0.3821,0.4645
68,1,CA3-DG,session,900,0.3947,0.4054,3,0.124,-0.4158,0,0.3146,0.2795
68,1,CA3-DG,naive,900,0.273,0.4146,2,0.0881,-0.2599,0,0.4253,0.2651
68,1,CA3-DG,intermediate,900,0.4163,0.4205,3,0.1643,-0.0194,0,0.3597,0.4075
