animal,learner,pair,center_trial,trial_frac,performance,lp_rel,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,gini_pearson_x,gini_pearson_y,rot_x,rot_y,rot_x_cc1,rot_y_cc1,jac_x,jac_y,sh_x,sh_y,sh_x_cc1,sh_y_cc1
28,1,CA1-DG,13.0,0.0882,0.0162,-56.0,16000,0.2271,2,0.0336,-0.0482,0,0.2783,0.2374,0.4045,0.3444,51.11,31.82,22.67,18.15,0.6,0.6,87.03,58.97,34.12,20.34
28,1,CA1-DG,18.0,0.125,0.0833,-51.0,14000,0.2696,1,0.0377,-0.0167,0,0.2906,0.2437,0.4006,0.3421,73.59,81.88,19.28,21.05,0.6,0.6,89.63,71.65,31.32,22.82
28,1,CA1-DG,23.0,0.1618,0.1389,-46.0,12000,0.2997,3,0.0588,-0.01,0,0.2592,0.4474,0.3759,0.3293,85.73,85.86,21.38,19.68,0.4545,0.3333,82.83,83.63,84.66,27.3
28,1,CA1-DG,28.0,0.1985,0.2667,-41.0,12000,0.2176,2,0.0352,-0.0075,0,0.3079,0.1797,0.3397,0.3126,66.91,61.83,18.6,24.95,0.4545,0.3333,89.63,81.35,57.17,24.63
28,1,CA1-DG,33.0,0.2353,0.27,-36.0,14000,0.1945,4,0.0507,-0.0116,0,0.2778,0.2663,0.3508,0.2905,76.58,35.03,25.95,26.64,0.6,0.3333,54.87,66.45,43.26,30.99
28,1,CA1-DG,38.0,0.2721,0.3182,-31.0,12000,0.206,2,0.0288,-0.0188,0,0.2354,0.3889,0.3244,0.2844,74.48,58.94,28.74,33.19,0.7778,0.6,82.02,44.43,29.4,21.04
28,1,CA1-DG,43.0,0.3088,0.3746,-26.0,14000,0.2038,1,0.0212,0.0115,0,0.2222,0.4177,0.3041,0.2466,74.07,31.44,26.94,65.36,0.4545,0.3333,88.53,58.63,61.75,39.68
28,1,CA1-DG,48.0,0.3456,0.3465,-21.0,14000,0.1997,2,0.0286,0.0001,0,0.1932,0.5095,0.3241,0.3049,85.1,81.88,16.33,41.61,0.4545,0.1429,84.12,84.15,70.83,53.74
28,1,CA1-DG,53.0,0.3824,0.3593,-16.0,14000,0.1765,2,0.0236,0.0235,0,0.2437,0.1896,0.3271,0.2859,79.62,46.38,32.66,22.28,0.4545,0.0,73.89,50.66,79.24,28.66
28,1,CA1-DG,58.0,0.4191,0.3158,-11.0,14000,0.1499,1,0.0114,0.0134,0,0.1771,0.539,0.2961,0.2567,73.24,49.11,27.85,41.41,0.3333,0.6,87.85,71.02,68.4,66.82
28,1,CA1-DG,63.0,0.4559,0.3796,-6.0,14000,0.1686,1,0.0144,-0.0497,0,0.241,0.5494,0.3041,0.2378,52.08,40.07,23.67,17.7,0.6,0.6,66.43,40.93,84.73,66.41
28,1,CA1-DG,68.0,0.4926,0.476,-1.0,14000,0.1825,2,0.0243,-0.0074,0,0.157,0.094,0.3167,0.2552,81.5,69.84,19.11,30.12,0.7778,0.6,68.28,44.76,36.97,32.76
28,1,CA1-DG,73.0,0.5294,0.5182,4.0,14000,0.1753,1,0.0156,-0.013,0,0.1535,0.0872,0.3125,0.2397,69.29,37.5,23.48,13.43,0.3333,0.3333,62.6,55.61,48.12,32.96
28,1,CA1-DG,78.0,0.5662,0.6613,9.0,14000,0.2035,6,0.086,0.0046,0,0.1871,0.1688,0.3091,0.226,63.2,36.11,29.41,23.17,0.3333,0.3333,72.74,60.75,52.21,35.12
28,1,CA1-DG,83.0,0.6029,0.7651,14.0,16000,0.1393,6,0.1626,-0.0081,0,0.8663,0.2611,0.3207,0.2477,82.46,78.63,89.8,89.61,0.4545,0.6,43.96,43.94,3.88,67.81
28,1,CA1-DG,88.0,0.6397,0.9155,19.0,14000,0.1697,1,0.0146,-0.0299,0,0.1856,0.3272,0.3016,0.2404,89.57,82.69,84.21,70.08,0.1429,0.6,85.32,89.5,32.12,23.49
28,1,CA1-DG,93.0,0.6765,0.9833,24.0,14000,0.146,4,0.0475,0.0192,0,0.2954,0.3338,0.2786,0.2133,78.31,80.43,43.25,56.83,0.4545,0.6,73.89,65.3,61.64,56.89
28,1,CA1-DG,98.0,0.7132,1.0,29.0,14000,0.3406,2,0.0865,-0.0466,0,0.3037,0.6233,0.3118,0.2852,41.96,34.79,65.69,52.02,0.6,0.6,58.03,54.22,8.96,0.94
28,1,CA1-DG,103.0,0.75,0.9333,34.0,14000,0.1859,6,0.1129,-0.061,0,0.3388,0.491,0.3078,0.2723,50.26,24.22,31.86,0.5,0.6,0.6,60.43,39.18,30.54,2.39
28,1,CA1-DG,108.0,0.7868,0.8565,39.0,14000,0.1398,3,0.0393,-0.0717,0,0.3527,0.365,0.3043,0.2119,46.76,19.95,63.58,52.74,0.6,0.6,46.99,60.03,75.18,83.81
