animal,learner,pair,center_trial,trial_frac,performance,lp_rel,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,gini_pearson_x,gini_pearson_y,rot_x,rot_y,rot_x_cc1,rot_y_cc1,jac_x,jac_y,sh_x,sh_y,sh_x_cc1,sh_y_cc1
28,1,CA1-CA3,8.0,0.0515,0.0162,-61.0,16000,0.0141,0,0.0,-0.1043,-3,0.3642,0.666,0.4092,0.6184,nan,nan,nan,nan,,,83.04,84.56,89.18,81.84
28,1,CA1-CA3,13.0,0.0882,0.0162,-56.0,16000,0.0485,0,0.0,-0.1028,-4,0.1986,0.7016,0.294,0.5294,87.01,85.49,88.98,71.3,0.3333,0.0,87.78,61.53,85.53,87.3
28,1,CA1-CA3,18.0,0.125,0.0833,-51.0,14000,0.0248,0,0.0,-0.0061,0,0.4009,0.6966,0.3039,0.4337,78.16,61.56,87.11,60.07,0.5,0.2,89.57,85.54,87.07,89.05
28,1,CA1-CA3,23.0,0.1618,0.1389,-46.0,12000,0.1095,2,0.0184,0.0244,5,0.2648,0.6708,0.2804,0.4278,78.82,89.79,62.53,86.33,0.3333,0.5,89.83,87.41,87.36,89.04
28,1,CA1-CA3,28.0,0.1985,0.2667,-41.0,12000,0.0485,0,0.0,0.1159,5,0.2799,0.566,0.4015,0.4088,78.61,55.34,42.39,72.91,0.3333,0.5,82.13,87.47,50.39,88.28
28,1,CA1-CA3,33.0,0.2353,0.27,-36.0,14000,0.1313,2,0.0227,0.0308,0,0.837,0.8749,0.6028,0.5993,90.0,90.0,90.0,81.17,0.2,0.0,81.63,0.0,0.0,53.48
28,1,CA1-CA3,38.0,0.2721,0.3182,-31.0,12000,0.0864,0,0.0,-0.0724,-5,0.2108,0.6562,0.338,0.5185,87.06,90.0,86.12,78.17,0.0909,0.2,86.27,86.01,69.09,85.78
28,1,CA1-CA3,43.0,0.3088,0.3746,-26.0,14000,0.1534,1,0.0119,-0.0918,0,0.2054,0.6509,0.3324,0.6114,83.25,57.8,51.08,27.19,0.3333,0.5,88.86,40.65,79.69,42.37
28,1,CA1-CA3,48.0,0.3456,0.3465,-21.0,14000,0.1665,1,0.0141,-0.0021,0,0.2093,0.6812,0.28,0.5634,87.84,87.82,38.83,38.95,0.7143,0.5,87.38,61.84,87.15,76.21
28,1,CA1-CA3,53.0,0.3824,0.3593,-16.0,14000,0.1653,1,0.0138,-0.0911,0,0.2476,0.7126,0.4244,0.5889,72.72,87.79,33.64,49.0,0.2,1.0,89.64,89.33,73.39,30.14
28,1,CA1-CA3,58.0,0.4191,0.3158,-11.0,14000,0.1736,3,0.0523,0.0973,2,0.2278,0.9507,0.281,0.4199,84.68,89.85,63.25,78.57,0.0909,0.2,72.26,78.2,71.81,0.0
28,1,CA1-CA3,63.0,0.4559,0.3796,-6.0,14000,0.2159,3,0.0554,-0.1365,0,0.1826,0.8702,0.311,0.379,76.33,88.97,35.55,15.95,0.3333,1.0,82.16,4.38,71.64,25.3
28,1,CA1-CA3,68.0,0.4926,0.476,-1.0,14000,0.1877,2,0.025,-0.1159,-1,0.2186,0.6587,0.343,0.5216,81.34,90.0,72.8,89.58,0.3333,0.2,88.68,85.27,43.6,54.29
28,1,CA1-CA3,73.0,0.5294,0.5182,4.0,14000,0.3154,4,0.1401,-0.0769,0,0.2249,0.9614,0.2848,0.39,80.19,89.29,81.95,89.6,0.3333,0.5,87.11,47.04,53.67,0.01
28,1,CA1-CA3,78.0,0.5662,0.6613,9.0,14000,0.2925,5,0.1356,-0.0348,0,0.2225,0.9236,0.3734,0.4593,66.73,88.99,51.47,38.57,0.3333,0.5,82.55,75.64,86.93,0.0
28,1,CA1-CA3,83.0,0.6029,0.7651,14.0,16000,0.2859,6,0.1122,-0.113,0,0.7908,0.1349,0.2969,0.3214,88.39,89.54,86.48,88.83,0.0909,0.2,85.82,88.52,3.47,36.65
28,1,CA1-CA3,88.0,0.6397,0.9155,19.0,14000,0.1189,0,0.0,0.1492,5,0.216,0.2706,0.3212,0.3188,87.64,81.58,84.7,43.56,0.0909,0.2,85.42,77.47,55.26,42.73
28,1,CA1-CA3,93.0,0.6765,0.9833,24.0,14000,-0.0147,2,0.0887,0.0392,0,0.3126,0.2918,0.373,0.2708,60.86,56.0,31.23,24.73,0.5,0.2,71.95,70.78,62.79,45.94
28,1,CA1-CA3,98.0,0.7132,1.0,29.0,14000,0.2589,1,0.0347,0.0004,0,0.2855,0.2452,0.3412,0.3215,76.69,73.96,48.58,17.23,1.0,0.5,78.84,72.84,49.5,53.88
28,1,CA1-CA3,103.0,0.75,0.9333,34.0,14000,-0.0655,2,0.0439,-0.0551,-1,0.2819,0.2455,0.2798,0.227,86.67,80.28,43.29,50.45,0.5,0.5,88.9,89.09,47.9,50.89
