animal,learner,pair,block,n_trials,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,sh_x,sh_y,angle_x,angle_y,cc_kcca,gini_kcca_x,gini_kcca_y
41,1,CA1-V1,late,10,7184,0.2311,0,0.0,0.024,0,0.2094,0.2942,83.99,69.35,,,0.2338,0.4037,0.3025
52,1,CA1-RSC,t1-5,5,3929,-0.1558,4,0.0662,0.033,2,0.357,0.1292,88.04,87.02,86.55,84.14,0.0538,0.3301,0.4202
52,1,CA1-RSC,t1-7,7,5335,-0.0583,2,0.0238,0.0564,2,0.3648,0.095,86.22,81.91,88.06,83.08,0.1476,0.3722,0.2176
52,1,CA1-RSC,t1-10,10,7372,-0.1065,1,0.0208,0.0725,2,0.3315,0.0838,80.22,70.26,86.83,84.93,0.0314,0.3569,0.2339
52,1,CA1-RSC,late,10,7161,0.2676,4,0.1772,0.0512,0,0.4214,0.0973,81.04,78.13,,,0.0882,0.433,0.1443
52,1,CA1-CA3,t1-5,5,3929,0.3543,2,0.1106,-0.0223,0,0.3316,0.3226,59.09,57.25,83.95,85.82,0.3392,0.4215,0.3799
52,1,CA1-CA3,t1-7,7,5335,0.3415,3,0.1305,-0.0074,0,0.3341,0.3103,51.74,59.47,87.8,88.06,0.3469,0.3819,0.3532
52,1,CA1-CA3,t1-10,10,7372,0.3343,4,0.1466,0.0497,0,0.3144,0.3056,50.49,44.42,88.68,86.55,0.168,0.3543,0.3765
52,1,CA1-CA3,late,10,7161,0.4394,4,0.2024,0.0139,0,0.3884,0.3807,54.0,52.33,,,0.2421,0.4315,0.4854
52,1,CA1-DG,t1-5,5,3929,0.3453,3,0.103,-0.0152,0,0.3365,0.1852,69.71,70.65,84.02,61.88,0.1992,0.4001,0.3194
52,1,CA1-DG,t1-7,7,5335,0.369,2,0.1016,-0.0082,0,0.3387,0.1897,61.62,68.28,83.07,63.14,0.1035,0.3507,0.3205
52,1,CA1-DG,t1-10,10,7372,0.1042,14,0.2878,0.0005,0,0.3175,0.1776,89.65,87.17,88.53,64.37,0.2509,0.3819,0.302
52,1,CA1-DG,late,10,7161,0.4606,5,0.2583,-0.0139,0,0.3927,0.1677,63.58,77.63,,,0.1896,0.4006,0.344
52,1,CA1-V1,t1-5,5,3929,0.2757,1,0.0395,-0.0186,0,0.3354,0.2667,87.91,88.17,86.03,79.88,0.1519,0.4151,0.2791
52,1,CA1-V1,t1-7,7,5335,0.3264,2,0.0892,-0.0216,0,0.3347,0.2574,89.74,80.1,88.57,79.24,0.1027,0.3289,0.281
52,1,CA1-V1,t1-10,10,7372,0.4091,3,0.211,-0.0246,0,0.3176,0.25,79.92,60.77,89.56,76.17,0.2312,0.3905,0.3133
52,1,CA1-V1,late,10,7161,0.4693,6,0.4665,0.0047,0,0.3912,0.3139,76.68,74.42,,,0.1903,0.4188,0.3296
52,1,CA3-DG,t1-5,5,3929,0.4789,8,0.9262,0.0213,0,0.3259,0.1832,43.36,46.39,47.75,38.28,0.5751,0.4657,0.3467
52,1,CA3-DG,t1-7,7,5335,0.6864,17,1.4104,0.001,0,0.3187,0.184,41.12,34.98,47.08,34.98,0.5237,0.4351,0.3735
52,1,CA3-DG,t1-10,10,7372,0.6974,17,1.4441,0.011,0,0.3075,0.1722,29.99,27.59,47.78,35.87,0.5657,0.4727,0.3512
52,1,CA3-DG,late,10,7161,0.715,9,0.9491,0.0354,0,0.382,0.1671,34.17,28.42,,,0.638,0.4959,0.4373
52,1,V1-RSC,t1-5,5,3929,0.3686,3,0.1205,-0.0134,0,0.253,0.1329,89.63,68.6,89.78,84.79,0.2939,0.3054,0.366
52,1,V1-RSC,t1-7,7,5335,0.4635,5,0.2829,-0.0045,0,0.2468,0.0973,88.4,87.15,89.82,71.75,0.3187,0.3336,0.3074
52,1,V1-RSC,t1-10,10,7372,0.3756,2,0.1501,-0.0079,0,0.2552,0.0845,86.07,78.95,85.55,69.31,0.2282,0.2778,0.2762
52,1,V1-RSC,late,10,7161,0.2881,6,0.3562,0.0445,0,0.2849,0.0986,76.26,55.29,,,0.105,0.3252,0.3687
