animal,learner,pair,dim,unc_cc,cue_cc,d_cc,unc_ifi,cue_ifi,d_ifi,unc_lag,cue_lag,unc_sig,cue_sig
63,1,CA1-RSC,8,-0.0118,-0.0106,0.0013,-0.0174,-0.0584,-0.041,5,-1,0,0
63,1,CA1-RSC,9,-0.0196,0.0092,0.0288,0.0625,-0.0606,-0.1231,5,5,0,0
66,1,CA1-RSC,0,0.0111,0.0302,0.0191,0.0223,-0.0171,-0.0394,0,0,0,0
66,1,CA1-RSC,1,0.0083,0.0153,0.0071,0.0035,-0.0045,-0.008,5,3,0,0
66,1,CA1-RSC,2,0.0023,0.0065,0.0042,0.0169,-0.0122,-0.0291,1,-5,0,0
66,1,CA1-RSC,3,0.0096,0.0019,-0.0077,-0.0021,-0.0124,-0.0103,-4,-1,0,0
66,1,CA1-RSC,4,0.0073,0.0031,-0.0042,0.0214,-0.0366,-0.0581,3,-1,0,0
66,1,CA1-RSC,5,0.0036,-0.0148,-0.0184,0.0166,0.007,-0.0096,3,4,0,0
66,1,CA1-RSC,6,-0.0227,-0.0011,0.0217,0.045,-0.005,-0.05,3,4,0,0
66,1,CA1-RSC,7,0.0059,-0.0035,-0.0095,-0.0046,-0.0264,-0.0218,-4,4,0,0
66,1,CA1-RSC,8,0.0058,-0.008,-0.0138,0.0407,-0.0009,-0.0416,5,4,0,0
66,1,CA1-RSC,9,-0.0139,-0.0115,0.0024,0.046,0.0496,0.0036,4,4,0,0
66,1,CA1-RSC,10,0.0133,0.0118,-0.0016,0.0233,0.0101,-0.0132,4,0,0,0
66,1,CA1-RSC,11,-0.0081,0.0026,0.0106,0.05,0.0065,-0.0436,4,-1,0,0
66,1,CA1-RSC,12,-0.0002,0.011,0.0111,0.02,-0.0515,-0.0715,-4,-3,0,0
66,1,CA1-RSC,13,-0.0029,-0.0021,0.0008,-0.0251,-0.1769,-0.1518,-1,-5,0,0
66,1,CA1-RSC,14,0.0037,0.0064,0.0027,-0.1371,-0.1083,0.0288,-1,-5,0,0
66,1,CA1-DG,0,0.1585,0.2344,0.0758,-0.0281,-0.0141,0.014,-5,0,1,1
66,1,CA1-DG,1,0.0655,0.0892,0.0236,-0.0797,-0.0613,0.0183,-1,-1,0,1
66,1,CA1-DG,2,0.0509,0.0305,-0.0205,-0.0055,-0.0311,-0.0256,0,3,0,0
66,1,CA1-DG,3,0.0016,0.0239,0.0222,-0.0145,-0.0307,-0.0162,-1,-1,0,0
66,1,CA1-DG,4,0.0097,0.0034,-0.0063,-0.0092,-0.0135,-0.0044,-1,3,0,0
66,1,CA1-DG,5,0.0039,0.0028,-0.001,-0.0245,0.0019,0.0263,-2,3,0,0
66,1,CA1-DG,6,0.02,-0.0019,-0.0219,0.0087,0.0202,0.0115,0,3,0,0
66,1,CA1-DG,7,0.0054,0.0071,0.0017,0.0306,0.0521,0.0215,0,-2,0,0
66,1,CA1-DG,8,-0.002,-0.0094,-0.0074,0.0685,0.0124,-0.056,0,3,0,0
66,1,CA1-DG,9,0.0135,0.0028,-0.0107,0.0474,0.0089,-0.0385,4,-2,0,0
66,1,CA1-DG,10,-0.0021,-0.0019,0.0002,0.0814,0.0303,-0.0511,4,-2,0,0
66,1,CA1-DG,11,0.0017,-0.0054,-0.0071,0.0387,-0.0012,-0.0399,-4,-2,0,0
66,1,CA1-DG,12,0.0042,0.003,-0.0012,-0.0198,-0.0676,-0.0478,-5,-2,0,0
66,1,CA1-DG,13,-0.0124,0.0069,0.0192,0.0336,0.1306,0.0969,4,3,0,0
66,1,CA1-DG,14,0.0062,0.0123,0.0061,-0.1202,0.2488,0.369,-5,3,0,0
66,1,CA1-V1,0,-0.0073,0.0186,0.0259,0.024,-0.0029,-0.0269,3,2,0,0
66,1,CA1-V1,1,0.0286,0.0115,-0.0171,0.0153,-0.0245,-0.0398,-4,2,0,0
66,1,CA1-V1,2,0.0147,-0.0054,-0.0201,-0.022,-0.0463,-0.0243,-4,2,0,0
66,1,CA1-V1,3,-0.001,0.006,0.007,-0.0143,-0.062,-0.0478,-4,0,0,0
66,1,CA1-V1,4,-0.0228,0.0445,0.0673,-0.0163,-0.0684,-0.0521,-4,-3,0,0
66,1,CA1-V1,5,-0.0091,0.011,0.0201,-0.0075,-0.0985,-0.091,-3,-4,0,0
66,1,CA1-V1,6,0.0043,0.0101,0.0059,-0.0265,-0.0379,-0.0114,-3,-2,0,0
66,1,CA1-V1,7,-0.0188,0.0084,0.0272,-0.0295,-0.0564,-0.0269,-3,-4,0,0
66,1,CA1-V1,8,-0.0167,0.002,0.0187,-0.0168,-0.0082,0.0086,3,0,0,0
66,1,CA1-V1,9,-0.0215,0.0043,0.0258,-0.0358,-0.0021,0.0337,3,0,0,0
66,1,CA1-V1,10,-0.0098,0.0059,0.0157,-0.0161,-0.0064,0.0097,1,-2,0,0
