animal,learner,pair,bin,area,unit,contrib
28,1,CA1-CA3,3,CA1,21,0.574709
28,1,CA1-CA3,3,CA1,22,0.362015
28,1,CA1-CA3,3,CA1,23,0.622168
28,1,CA1-CA3,3,CA1,24,0.339602
28,1,CA1-CA3,3,CA1,25,2.308576
28,1,CA1-CA3,3,CA1,26,0.54457
28,1,CA1-CA3,3,CA1,27,0.757666
28,1,CA1-CA3,3,CA1,28,0.730687
28,1,CA1-CA3,3,CA1,29,0.72362
28,1,CA1-CA3,3,CA3,0,0.958593
28,1,CA1-CA3,3,CA3,1,1.105064
28,1,CA1-CA3,3,CA3,2,0.501709
28,1,CA1-CA3,3,CA3,3,1.922737
28,1,CA1-CA3,3,CA3,4,0.0
28,1,CA1-CA3,3,CA3,5,1.313899
28,1,CA1-CA3,3,CA3,6,4.123227
28,1,CA1-CA3,3,CA3,7,3.703241
28,1,CA1-CA3,3,CA3,8,0.0
28,1,CA1-CA3,3,CA3,9,0.0
28,1,CA1-CA3,3,CA3,10,0.952103
28,1,CA1-CA3,3,CA3,11,1.069353
28,1,CA1-CA3,3,CA3,12,1.276899
28,1,CA1-CA3,3,CA3,13,10.966613
28,1,CA1-CA3,3,CA3,14,11.861475
28,1,CA1-CA3,4,CA1,0,0.702779
28,1,CA1-CA3,4,CA1,1,0.672984
28,1,CA1-CA3,4,CA1,2,0.79339
28,1,CA1-CA3,4,CA1,3,0.357284
28,1,CA1-CA3,4,CA1,4,0.279088
28,1,CA1-CA3,4,CA1,5,0.955404
28,1,CA1-CA3,4,CA1,6,0.441757
28,1,CA1-CA3,4,CA1,7,0.530556
28,1,CA1-CA3,4,CA1,8,0.562275
28,1,CA1-CA3,4,CA1,9,0.888795
28,1,CA1-CA3,4,CA1,10,0.346289
28,1,CA1-CA3,4,CA1,11,0.643345
28,1,CA1-CA3,4,CA1,12,0.787595
28,1,CA1-CA3,4,CA1,13,2.469342
28,1,CA1-CA3,4,CA1,14,0.480054
28,1,CA1-CA3,4,CA1,15,0.651184
28,1,CA1-CA3,4,CA1,16,0.424633
28,1,CA1-CA3,4,CA1,17,0.270807
28,1,CA1-CA3,4,CA1,18,0.426126
28,1,CA1-CA3,4,CA1,19,0.6429
28,1,CA1-CA3,4,CA1,20,0.643058
28,1,CA1-CA3,4,CA1,21,0.582777
28,1,CA1-CA3,4,CA1,22,0.425251
28,1,CA1-CA3,4,CA1,23,0.629635
28,1,CA1-CA3,4,CA1,24,0.502319
28,1,CA1-CA3,4,CA1,25,1.961831
28,1,CA1-CA3,4,CA1,26,0.635645
28,1,CA1-CA3,4,CA1,27,0.876977
28,1,CA1-CA3,4,CA1,28,0.598428
28,1,CA1-CA3,4,CA1,29,0.768585
28,1,CA1-CA3,4,CA3,0,1.018512
28,1,CA1-CA3,4,CA3,1,1.094808
28,1,CA1-CA3,4,CA3,2,0.474531
28,1,CA1-CA3,4,CA3,3,0.98804
28,1,CA1-CA3,4,CA3,4,0.0
28,1,CA1-CA3,4,CA3,5,1.178209
28,1,CA1-CA3,4,CA3,6,1.589934
28,1,CA1-CA3,4,CA3,7,0.0
28,1,CA1-CA3,4,CA3,8,0.0
28,1,CA1-CA3,4,CA3,9,1.343483
28,1,CA1-CA3,4,CA3,10,0.987954
28,1,CA1-CA3,4,CA3,11,1.030538
28,1,CA1-CA3,4,CA3,12,1.301606
28,1,CA1-CA3,4,CA3,13,10.8422
28,1,CA1-CA3,4,CA3,14,7.897586
28,1,CA1-CA3,5,CA1,0,0.543842
28,1,CA1-CA3,5,CA1,1,0.619182
28,1,CA1-CA3,5,CA1,2,0.944363
28,1,CA1-CA3,5,CA1,3,0.507658
28,1,CA1-CA3,5,CA1,4,0.483917
28,1,CA1-CA3,5,CA1,5,0.847472
28,1,CA1-CA3,5,CA1,6,0.397799
28,1,CA1-CA3,5,CA1,7,0.611069
28,1,CA1-CA3,5,CA1,8,0.702793
28,1,CA1-CA3,5,CA1,9,0.992053
28,1,CA1-CA3,5,CA1,10,0.412195
28,1,CA1-CA3,5,CA1,11,0.571643
28,1,CA1-CA3,5,CA1,12,0.703125
28,1,CA1-CA3,5,CA1,13,1.14168
28,1,CA1-CA3,5,CA1,14,0.711178
28,1,CA1-CA3,5,CA1,15,0.918767
28,1,CA1-CA3,5,CA1,16,0.231402
28,1,CA1-CA3,5,CA1,17,0.0
28,1,CA1-CA3,5,CA1,18,0.219101
28,1,CA1-CA3,5,CA1,19,0.659125
28,1,CA1-CA3,5,CA1,20,0.874416
28,1,CA1-CA3,5,CA1,21,0.464076
28,1,CA1-CA3,5,CA1,22,0.601382
28,1,CA1-CA3,5,CA1,23,1.081426
28,1,CA1-CA3,5,CA1,24,0.296828
28,1,CA1-CA3,5,CA1,25,1.418178
28,1,CA1-CA3,5,CA1,26,0.514771
28,1,CA1-CA3,5,CA1,27,0.891569
28,1,CA1-CA3,5,CA1,28,0.764827
28,1,CA1-CA3,5,CA1,29,1.38476
28,1,CA1-CA3,5,CA3,0,1.025274
28,1,CA1-CA3,5,CA3,1,1.091256
28,1,CA1-CA3,5,CA3,2,0.746457
28,1,CA1-CA3,5,CA3,3,1.158508
28,1,CA1-CA3,5,CA3,4,0.0
28,1,CA1-CA3,5,CA3,5,1.778834
28,1,CA1-CA3,5,CA3,6,24.69227
28,1,CA1-CA3,5,CA3,7,2.19844
28,1,CA1-CA3,5,CA3,8,0.0
28,1,CA1-CA3,5,CA3,9,7.851162
28,1,CA1-CA3,5,CA3,10,1.015175
28,1,CA1-CA3,5,CA3,11,1.057245
28,1,CA1-CA3,5,CA3,12,1.237246
28,1,CA1-CA3,5,CA3,13,39.960691
28,1,CA1-CA3,5,CA3,14,8.377779
28,1,CA1-CA3,6,CA1,0,0.595853
28,1,CA1-CA3,6,CA1,1,0.681094
28,1,CA1-CA3,6,CA1,2,0.806081
28,1,CA1-CA3,6,CA1,3,0.272745
28,1,CA1-CA3,6,CA1,4,0.856762
28,1,CA1-CA3,6,CA1,5,0.651845
28,1,CA1-CA3,6,CA1,6,0.409778
28,1,CA1-CA3,6,CA1,7,0.382357
28,1,CA1-CA3,6,CA1,8,0.783815
28,1,CA1-CA3,6,CA1,9,1.006666
28,1,CA1-CA3,6,CA1,10,0.819075
28,1,CA1-CA3,6,CA1,11,0.630411
28,1,CA1-CA3,6,CA1,12,0.571985
28,1,CA1-CA3,6,CA1,13,0.899756
28,1,CA1-CA3,6,CA1,14,0.563652
28,1,CA1-CA3,6,CA1,15,0.419112
28,1,CA1-CA3,6,CA1,16,0.435625
28,1,CA1-CA3,6,CA1,17,0.0
28,1,CA1-CA3,6,CA1,18,0.287047
28,1,CA1-CA3,6,CA1,19,0.478499
28,1,CA1-CA3,6,CA1,20,0.754827
28,1,CA1-CA3,6,CA1,21,0.580351
28,1,CA1-CA3,6,CA1,22,0.557501
28,1,CA1-CA3,6,CA1,23,1.156285
28,1,CA1-CA3,6,CA1,24,0.467344
28,1,CA1-CA3,6,CA1,25,2.093099
28,1,CA1-CA3,6,CA1,26,0.591711
28,1,CA1-CA3,6,CA1,27,0.946348
28,1,CA1-CA3,6,CA1,28,0.678684
28,1,CA1-CA3,6,CA1,29,0.782703
28,1,CA1-CA3,6,CA3,0,1.081415
28,1,CA1-CA3,6,CA3,1,1.093524
28,1,CA1-CA3,6,CA3,2,0.919156
28,1,CA1-CA3,6,CA3,3,1.02538
28,1,CA1-CA3,6,CA3,4,0.0
28,1,CA1-CA3,6,CA3,5,0.73121
28,1,CA1-CA3,6,CA3,6,3.247511
28,1,CA1-CA3,6,CA3,7,0.0
28,1,CA1-CA3,6,CA3,8,0.0
28,1,CA1-CA3,6,CA3,9,4.467697
28,1,CA1-CA3,6,CA3,10,0.907674
28,1,CA1-CA3,6,CA3,11,1.007958
28,1,CA1-CA3,6,CA3,12,1.262557
28,1,CA1-CA3,6,CA3,13,5.259494
28,1,CA1-CA3,6,CA3,14,7.351358
28,1,CA1-DG,1,CA1,0,0.94013
28,1,CA1-DG,1,CA1,1,0.629583
28,1,CA1-DG,1,CA1,2,0.823436
28,1,CA1-DG,1,CA1,3,0.491199
28,1,CA1-DG,1,CA1,4,0.415483
28,1,CA1-DG,1,CA1,5,0.673628
28,1,CA1-DG,1,CA1,6,0.352325
28,1,CA1-DG,1,CA1,7,0.463083
28,1,CA1-DG,1,CA1,8,0.645912
28,1,CA1-DG,1,CA1,9,0.907918
28,1,CA1-DG,1,CA1,10,0.75838
28,1,CA1-DG,1,CA1,11,0.501435
28,1,CA1-DG,1,CA1,12,1.244603
28,1,CA1-DG,1,CA1,13,1.882946
28,1,CA1-DG,1,CA1,14,1.082224
28,1,CA1-DG,1,CA1,15,0.44147
28,1,CA1-DG,1,CA1,16,0.549191
28,1,CA1-DG,1,CA1,17,0.0
28,1,CA1-DG,1,CA1,18,0.360915
28,1,CA1-DG,1,CA1,19,0.623783
28,1,CA1-DG,1,CA1,20,0.93783
28,1,CA1-DG,1,CA1,21,0.499516
28,1,CA1-DG,1,CA1,22,0.40724
28,1,CA1-DG,1,CA1,23,2.108391
28,1,CA1-DG,1,CA1,24,0.531437
28,1,CA1-DG,1,CA1,25,2.343156
28,1,CA1-DG,1,CA1,26,0.765271
28,1,CA1-DG,1,CA1,27,0.698959
28,1,CA1-DG,1,CA1,28,0.570358
28,1,CA1-DG,1,CA1,29,0.461507
28,1,CA1-DG,1,DG,0,1.560806
28,1,CA1-DG,1,DG,1,1.138069
28,1,CA1-DG,1,DG,2,1.35189
28,1,CA1-DG,1,DG,3,1.09383
28,1,CA1-DG,1,DG,4,0.95736
28,1,CA1-DG,1,DG,5,1.018267
28,1,CA1-DG,1,DG,6,1.093
28,1,CA1-DG,1,DG,7,1.135693
28,1,CA1-DG,1,DG,8,0.696059
28,1,CA1-DG,1,DG,9,1.341469
28,1,CA1-DG,1,DG,10,1.054373
28,1,CA1-DG,1,DG,11,0.554657
28,1,CA1-DG,1,DG,12,0.0
28,1,CA1-DG,2,CA1,0,0.810638
28,1,CA1-DG,2,CA1,1,0.573455
28,1,CA1-DG,2,CA1,2,0.713415
28,1,CA1-DG,2,CA1,3,0.338109
28,1,CA1-DG,2,CA1,4,1.411548
28,1,CA1-DG,2,CA1,5,0.376734
28,1,CA1-DG,2,CA1,6,0.46302
28,1,CA1-DG,2,CA1,7,0.366
28,1,CA1-DG,2,CA1,8,0.548166
28,1,CA1-DG,2,CA1,9,0.840871
28,1,CA1-DG,2,CA1,10,0.47751
28,1,CA1-DG,2,CA1,11,0.621889
28,1,CA1-DG,2,CA1,12,0.702188
28,1,CA1-DG,2,CA1,13,1.422779
28,1,CA1-DG,2,CA1,14,0.441657
28,1,CA1-DG,2,CA1,15,0.726314
28,1,CA1-DG,2,CA1,16,0.830296
28,1,CA1-DG,2,CA1,17,0.837547
28,1,CA1-DG,2,CA1,18,0.489461
28,1,CA1-DG,2,CA1,19,0.553163
28,1,CA1-DG,2,CA1,20,0.965162
28,1,CA1-DG,2,CA1,21,0.415493
28,1,CA1-DG,2,CA1,22,0.487151
28,1,CA1-DG,2,CA1,23,0.806884
28,1,CA1-DG,2,CA1,24,0.440484
28,1,CA1-DG,2,CA1,25,2.8059
28,1,CA1-DG,2,CA1,26,0.826706
28,1,CA1-DG,2,CA1,27,0.776659
28,1,CA1-DG,2,CA1,28,0.542414
28,1,CA1-DG,2,CA1,29,0.517593
28,1,CA1-DG,2,DG,0,1.591042
28,1,CA1-DG,2,DG,1,1.180705
28,1,CA1-DG,2,DG,2,1.278226
28,1,CA1-DG,2,DG,3,1.022058
28,1,CA1-DG,2,DG,4,0.984489
28,1,CA1-DG,2,DG,5,0.916311
28,1,CA1-DG,2,DG,6,1.128726
28,1,CA1-DG,2,DG,7,1.155095
28,1,CA1-DG,2,DG,8,2.331243
28,1,CA1-DG,2,DG,9,1.357492
28,1,CA1-DG,2,DG,10,0.775751
28,1,CA1-DG,2,DG,11,0.7815
28,1,CA1-DG,2,DG,12,0.0
28,1,CA1-DG,3,CA1,0,0.839278
28,1,CA1-DG,3,CA1,1,0.57921
28,1,CA1-DG,3,CA1,2,0.75228
28,1,CA1-DG,3,CA1,3,0.48465
28,1,CA1-DG,3,CA1,4,1.018326
28,1,CA1-DG,3,CA1,5,0.953148
28,1,CA1-DG,3,CA1,6,0.256743
28,1,CA1-DG,3,CA1,7,0.437881
28,1,CA1-DG,3,CA1,8,0.324166
28,1,CA1-DG,3,CA1,9,0.636859
28,1,CA1-DG,3,CA1,10,0.282705
28,1,CA1-DG,3,CA1,11,0.688071
28,1,CA1-DG,3,CA1,12,1.182557
28,1,CA1-DG,3,CA1,13,2.359823
28,1,CA1-DG,3,CA1,14,0.50229
28,1,CA1-DG,3,CA1,15,0.757083
28,1,CA1-DG,3,CA1,16,0.457157
28,1,CA1-DG,3,CA1,17,30.671237
28,1,CA1-DG,3,CA1,18,1.012934
28,1,CA1-DG,3,CA1,19,0.443265
28,1,CA1-DG,3,CA1,20,0.851193
28,1,CA1-DG,3,CA1,21,0.50922
28,1,CA1-DG,3,CA1,22,0.486917
28,1,CA1-DG,3,CA1,23,0.775028
28,1,CA1-DG,3,CA1,24,0.309493
28,1,CA1-DG,3,CA1,25,1.184643
28,1,CA1-DG,3,CA1,26,0.828039
28,1,CA1-DG,3,CA1,27,0.733787
28,1,CA1-DG,3,CA1,28,0.599701
28,1,CA1-DG,3,CA1,29,0.474487
28,1,CA1-DG,3,DG,0,1.837914
28,1,CA1-DG,3,DG,1,1.169823
28,1,CA1-DG,3,DG,2,1.007771
28,1,CA1-DG,3,DG,3,1.00373
28,1,CA1-DG,3,DG,4,0.959593
28,1,CA1-DG,3,DG,5,0.789905
28,1,CA1-DG,3,DG,6,1.127101
28,1,CA1-DG,3,DG,7,1.176656
28,1,CA1-DG,3,DG,8,2.465151
28,1,CA1-DG,3,DG,9,1.344984
28,1,CA1-DG,3,DG,10,1.394026
28,1,CA1-DG,3,DG,11,0.967132
28,1,CA1-DG,3,DG,12,0.0
28,1,CA1-DG,4,CA1,0,0.826288
28,1,CA1-DG,4,CA1,1,0.656772
28,1,CA1-DG,4,CA1,2,0.537247
28,1,CA1-DG,4,CA1,3,0.490429
28,1,CA1-DG,4,CA1,4,0.275881
28,1,CA1-DG,4,CA1,5,1.123486
28,1,CA1-DG,4,CA1,6,0.512085
28,1,CA1-DG,4,CA1,7,0.411707
28,1,CA1-DG,4,CA1,8,0.323255
28,1,CA1-DG,4,CA1,9,0.850303
28,1,CA1-DG,4,CA1,10,0.528685
28,1,CA1-DG,4,CA1,11,0.476936
28,1,CA1-DG,4,CA1,12,0.82723
28,1,CA1-DG,4,CA1,13,3.419262
28,1,CA1-DG,4,CA1,14,0.392537
28,1,CA1-DG,4,CA1,15,0.889534
28,1,CA1-DG,4,CA1,16,0.480059
28,1,CA1-DG,4,CA1,17,0.348319
28,1,CA1-DG,4,CA1,18,0.668384
28,1,CA1-DG,4,CA1,19,0.455655
28,1,CA1-DG,4,CA1,20,0.657714
28,1,CA1-DG,4,CA1,21,0.482262
28,1,CA1-DG,4,CA1,22,0.51413
28,1,CA1-DG,4,CA1,23,0.80899
28,1,CA1-DG,4,CA1,24,0.44588
28,1,CA1-DG,4,CA1,25,2.402408
28,1,CA1-DG,4,CA1,26,0.735278
28,1,CA1-DG,4,CA1,27,0.830444
28,1,CA1-DG,4,CA1,28,0.752076
28,1,CA1-DG,4,CA1,29,0.599644
28,1,CA1-DG,4,DG,0,1.937131
28,1,CA1-DG,4,DG,1,1.154598
28,1,CA1-DG,4,DG,2,0.999572
28,1,CA1-DG,4,DG,3,1.083133
28,1,CA1-DG,4,DG,4,0.938705
28,1,CA1-DG,4,DG,5,0.792137
28,1,CA1-DG,4,DG,6,1.17001
28,1,CA1-DG,4,DG,7,1.190815
28,1,CA1-DG,4,DG,8,0.893939
28,1,CA1-DG,4,DG,9,1.318397
28,1,CA1-DG,4,DG,10,1.807586
28,1,CA1-DG,4,DG,11,0.829273
28,1,CA1-DG,4,DG,12,9.527974
28,1,CA1-DG,5,CA1,0,0.725366
28,1,CA1-DG,5,CA1,1,0.616946
28,1,CA1-DG,5,CA1,2,0.727809
28,1,CA1-DG,5,CA1,3,0.303951
28,1,CA1-DG,5,CA1,4,0.788647
28,1,CA1-DG,5,CA1,5,0.495236
28,1,CA1-DG,5,CA1,6,0.383441
28,1,CA1-DG,5,CA1,7,0.610559
28,1,CA1-DG,5,CA1,8,0.473752
28,1,CA1-DG,5,CA1,9,0.775421
28,1,CA1-DG,5,CA1,10,0.650477
28,1,CA1-DG,5,CA1,11,0.712524
28,1,CA1-DG,5,CA1,12,0.836842
28,1,CA1-DG,5,CA1,13,2.053282
28,1,CA1-DG,5,CA1,14,0.480204
28,1,CA1-DG,5,CA1,15,0.915536
28,1,CA1-DG,5,CA1,16,0.501838
28,1,CA1-DG,5,CA1,17,0.0
28,1,CA1-DG,5,CA1,18,0.467682
28,1,CA1-DG,5,CA1,19,0.54072
28,1,CA1-DG,5,CA1,20,0.71605
28,1,CA1-DG,5,CA1,21,0.351832
28,1,CA1-DG,5,CA1,22,0.327086
28,1,CA1-DG,5,CA1,23,0.890366
28,1,CA1-DG,5,CA1,24,0.500672
28,1,CA1-DG,5,CA1,25,1.432784
28,1,CA1-DG,5,CA1,26,0.602826
28,1,CA1-DG,5,CA1,27,0.843099
28,1,CA1-DG,5,CA1,28,0.566589
28,1,CA1-DG,5,CA1,29,1.903398
28,1,CA1-DG,5,DG,0,1.435468
28,1,CA1-DG,5,DG,1,1.185992
28,1,CA1-DG,5,DG,2,0.99986
28,1,CA1-DG,5,DG,3,1.014328
28,1,CA1-DG,5,DG,4,1.041237
28,1,CA1-DG,5,DG,5,0.914166
28,1,CA1-DG,5,DG,6,1.1821
28,1,CA1-DG,5,DG,7,1.16795
28,1,CA1-DG,5,DG,8,0.689891
28,1,CA1-DG,5,DG,9,1.328199
28,1,CA1-DG,5,DG,10,1.253444
28,1,CA1-DG,5,DG,11,1.231641
28,1,CA1-DG,5,DG,12,0.0
28,1,CA1-DG,6,CA1,0,0.901081
28,1,CA1-DG,6,CA1,1,0.55516
28,1,CA1-DG,6,CA1,2,0.806482
28,1,CA1-DG,6,CA1,3,0.520696
28,1,CA1-DG,6,CA1,4,1.003852
28,1,CA1-DG,6,CA1,5,0.586332
28,1,CA1-DG,6,CA1,6,0.579256
28,1,CA1-DG,6,CA1,7,0.634936
28,1,CA1-DG,6,CA1,8,0.633014
28,1,CA1-DG,6,CA1,9,0.862766
28,1,CA1-DG,6,CA1,10,0.602207
28,1,CA1-DG,6,CA1,11,0.640391
28,1,CA1-DG,6,CA1,12,0.818221
28,1,CA1-DG,6,CA1,13,1.546354
28,1,CA1-DG,6,CA1,14,0.50913
28,1,CA1-DG,6,CA1,15,0.735654
28,1,CA1-DG,6,CA1,16,0.36965
28,1,CA1-DG,6,CA1,17,0.0
28,1,CA1-DG,6,CA1,18,0.47828
28,1,CA1-DG,6,CA1,19,0.71008
28,1,CA1-DG,6,CA1,20,0.858053
28,1,CA1-DG,6,CA1,21,0.588148
28,1,CA1-DG,6,CA1,22,0.585468
28,1,CA1-DG,6,CA1,23,1.362401
28,1,CA1-DG,6,CA1,24,0.2222
28,1,CA1-DG,6,CA1,25,1.486252
28,1,CA1-DG,6,CA1,26,0.373462
28,1,CA1-DG,6,CA1,27,0.919686
28,1,CA1-DG,6,CA1,28,0.70325
28,1,CA1-DG,6,CA1,29,0.560523
28,1,CA1-DG,6,DG,0,1.816281
28,1,CA1-DG,6,DG,1,1.159462
28,1,CA1-DG,6,DG,2,1.022124
28,1,CA1-DG,6,DG,3,1.080062
28,1,CA1-DG,6,DG,4,1.240824
28,1,CA1-DG,6,DG,5,0.998184
28,1,CA1-DG,6,DG,6,1.186252
28,1,CA1-DG,6,DG,7,1.191088
28,1,CA1-DG,6,DG,8,0.611446
28,1,CA1-DG,6,DG,9,1.32596
28,1,CA1-DG,6,DG,10,0.777824
28,1,CA1-DG,6,DG,11,1.084388
28,1,CA1-DG,6,DG,12,4.084453
28,1,CA1-V1,1,CA1,0,1.076206
28,1,CA1-V1,1,CA1,1,0.84866
28,1,CA1-V1,1,CA1,2,1.074149
28,1,CA1-V1,1,CA1,3,0.746253
28,1,CA1-V1,1,CA1,4,0.824907
28,1,CA1-V1,1,CA1,5,1.055478
28,1,CA1-V1,1,CA1,6,0.792066
28,1,CA1-V1,1,CA1,7,0.621784
28,1,CA1-V1,1,CA1,8,0.816584
28,1,CA1-V1,1,CA1,9,1.174953
28,1,CA1-V1,1,CA1,10,1.691638
28,1,CA1-V1,1,CA1,11,1.098466
28,1,CA1-V1,1,CA1,12,1.642749
28,1,CA1-V1,1,CA1,13,5.638529
28,1,CA1-V1,1,CA1,14,1.585155
28,1,CA1-V1,1,CA1,15,1.140814
28,1,CA1-V1,1,CA1,16,1.045194
28,1,CA1-V1,1,CA1,17,0.0
28,1,CA1-V1,1,CA1,18,0.942245
28,1,CA1-V1,1,CA1,19,0.889857
28,1,CA1-V1,1,CA1,20,1.519079
28,1,CA1-V1,1,CA1,21,0.871894
28,1,CA1-V1,1,CA1,22,0.885915
28,1,CA1-V1,1,CA1,23,2.660177
28,1,CA1-V1,1,CA1,24,0.880665
28,1,CA1-V1,1,CA1,25,4.599398
28,1,CA1-V1,1,CA1,26,1.159283
28,1,CA1-V1,1,CA1,27,0.836197
28,1,CA1-V1,1,CA1,28,0.833951
28,1,CA1-V1,1,CA1,29,0.667592
